screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP2,SC,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M2,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,F9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,,M5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,RP3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,
