screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F6,RP1,RP1,F6,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,WD,RP1,RP1,BN,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M1,F5,M3,F10,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F9,F7,F10,F6,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F5,M4,F5,F5,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP1,F6,WD,F5,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP1,F8,M4,F8,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,RP1,M3,F6,F8,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F10,F9,M1,F10,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M3,M1,F8,F9,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M2,F10,M4,M1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,WD,BN,F5,M1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F7,F7,F9,M1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M4,F5,M2,M3,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F9,RP1,F7,F10,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,BN,RP1,M4,F10,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F7,M2,F8,F9,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M3,M3,WD,F9,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F5,M4,F10,F7,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M1,F6,F10,M3,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M1,BN,F9,F8,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F10,F8,BN,M1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F9,F7,F10,RP1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M2,M1,M1,RP1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M4,M1,RP1,RP1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F6,M4,RP1,M2,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F5,F10,M3,M3,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,WD,F7,F10,F6,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F7,WD,M4,M4,,1,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M3,F8,F6,F7,,1,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F9,F10,M1,M2,,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F8,F9,F7,F9,,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M1,M3,M2,BN,,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F10,F10,F10,F10,,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M3,M1,M4,M2,,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F7,M1,F7,F6,,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,WD,F5,M2,M3,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M2,F9,F6,F7,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F6,F9,BN,BN,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M3,F8,F10,F9,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F7,F5,F5,M1,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,RP1,RP1,F9,M1,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP1,RP1,M3,RP1,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F8,RP1,F7,RP1,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,F7,RP1,RP1,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M4,F5,RP1,F9,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F5,F8,M1,F5,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,BN,F10,F8,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F6,F5,M3,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M2,F8,F9,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F5,M4,M2,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,WD,F6,M2,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F6,M1,M3,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,WD,F7,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F5,F10,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F6,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M2,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F7,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,M4,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F9,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,WD,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F8,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M3,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F9,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F5,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F6,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M1,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,F10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,
