screen size,,independent reels,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,,checkpoint weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,,game
,,,,,,F10,,,,,,,,,,,,,,,,,,,,,,,,,,F10,0,0,0,0,0,,,,,,,,,,,,,,,,,,BL,BL,RP4,RP4,BL,RP4,BL,BL,BL,RP4,BL,RP4,BL,RP4,BL,15,150,2,2,20,2,150,15,20,2,20,2,150,2,150,,,,BL,BL,RP4,RP4,BL,RP4,BL,BL,BL,RP4,BL,RP4,BL,RP4,BL,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,15,150,6,6,20,6,150,15,20,6,20,6,150,6,150,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP7,BL,BL,BL,RP7,BL,BL,RP7,RP7,BL,RP7,BL,BL,BL,BL,2,150,1,1,4,1,150,2,4,1,4,1,150,1,150,,,,RP7,BL,BL,BL,RP7,BL,BL,RP7,RP7,BL,RP7,BL,BL,BL,BL,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP4,RP7,RP7,RP5,RP7,RP4,RP1,RP5,RP7,RP5,RP7,RP4,RP7,RP4,2,1,2,2,4,2,1,2,4,2,4,2,1,2,1,,,,RP1,RP4,RP7,RP7,RP5,RP7,RP4,RP1,RP5,RP7,RP5,RP7,RP4,RP7,RP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,RP9,RP6,RP6,RP6,RP6,RP9,BL,RP6,RP6,RP6,RP6,RP9,RP6,RP9,15,1,2,2,4,2,1,15,4,2,4,2,1,2,1,,,,BL,RP9,RP6,RP6,RP6,RP6,RP9,BL,RP6,RP6,RP6,RP6,RP9,RP6,RP9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,RP1,BL,BL,BL,BL,RP1,BL,BL,BL,BL,BL,RP1,BL,RP1,15,1,6,6,20,6,1,15,20,6,20,6,1,6,1,,,,BL,RP1,BL,BL,BL,BL,RP1,BL,BL,BL,BL,BL,RP1,BL,RP1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,15,150,5,5,20,5,150,15,20,5,20,5,150,5,150,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP3,BL,BL,BL,BL,BL,BL,RP3,BL,BL,BL,BL,BL,BL,BL,2,150,3,3,4,3,150,2,4,3,4,3,150,3,150,,,,RP3,BL,BL,BL,BL,BL,BL,RP3,BL,BL,BL,BL,BL,BL,BL,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP7,RP6,RP7,RP7,RP3,RP7,RP6,RP7,RP3,RP7,RP3,RP7,RP6,RP7,RP6,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,,,,RP7,RP6,RP7,RP7,RP3,RP7,RP6,RP7,RP3,RP7,RP3,RP7,RP6,RP7,RP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP5,RP5,RP8,RP8,RP4,RP8,RP5,RP5,RP4,RP8,RP4,RP8,RP5,RP8,RP5,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,,,,RP5,RP5,RP8,RP8,RP4,RP8,RP5,RP5,RP4,RP8,RP4,RP8,RP5,RP8,RP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
