screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,,initial wild vector 0,initial wild vector 1,initial wild vector 2,,wild10 mins,wild10 maxes,wild allocation weights,,,,wild feature yes,wild feature no,,scripted wild 1,scripted wild 2,scripted wild 3,scripted wild 4,scripted wild 5,scripted wild 6,,scripted wild spin 10,,weights of matrices of weights,weights of matrices of weights spin 10,,weight matrix 1,weight matrix 1,weight matrix 1,weight matrix 1,weight matrix 1,,weight matrix 2,weight matrix 2,weight matrix 2,weight matrix 2,weight matrix 2,,weight matrix 3,weight matrix 3,weight matrix 3,weight matrix 3,weight matrix 3,,weight matrix 4,weight matrix 4,weight matrix 4,weight matrix 4,weight matrix 4,,weight matrix 5,weight matrix 5,weight matrix 5,weight matrix 5,weight matrix 5,,reel strip weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,game
,,,,F10,,,,,,,,,,,,F10,0,0,5,20,40,,F10,1,5,,,,,,,,,,,15,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,F9,F9,M2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F7,F10,M3,F10,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F8,M1,M2,RP2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M4,F7,F7,RP2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F7,F7,M1,RP2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M5,M2,F10,RP2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M3,M5,F8,RP2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,F6,F8,F7,F8,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,RP2,M4,F9,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M4,F9,F8,RP2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F8,F9,F8,F6,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F9,M3,M2,F6,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F8,F6,F6,M3,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M1,F6,F6,M5,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F7,RP2,F9,M3,,,,,,,,,,,,,,0,0,1,0,0,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M4,F8,M4,RP2,,,,,,,,,,,,,,0,0,1,0,1,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,F7,F8,F9,F7,,,,,,,,,,,,,,0,0,1,0,1,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F8,M3,F7,M4,,,,,,,,,,,,,,0,0,1,0,1,,,,,,,,,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,RP2,F10,RP2,F8,,,,,,,,,,,,,,0,1,0,1,1,,,,,,,,,1,1,1,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,F10,RP2,M1,,,,,,,,,,,,,,0,1,0,1,0,,,,,,,,,1,1,1,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M3,M2,RP2,M5,,,,,,,,,,,,,,0,1,0,1,0,,,,,,,,,1,1,1,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F6,M5,RP2,F9,,,,,,,,,,,,,,0,1,0,1,0,,,,,,,,,1,1,1,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,M5,F9,RP2,M1,,,,,,,,,,,,,,1,0,0,1,0,,,,,,,,,1,1,1,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,RP2,RP2,RP2,RP2,,,,,,,,,,,,,,1,0,0,1,0,,,,,,,,,1,1,1,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,RP2,F9,RP2,RP2,,,,,,,,,,,,,,1,0,0,1,0,,,,,,,,,1,1,1,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,RP2,M4,F7,RP2,,,,,,,,,,,,,,1,0,0,1,0,,,,,,,,,1,1,1,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,RP2,F7,M5,RP2,,,,,,,,,,,,,,1,0,0,0,0,,,,,,,,,1,1,1,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,RP2,M5,F6,RP2,,,,,,,,,,,,,,1,0,0,0,0,,,,,,,,,1,1,1,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,F10,M1,M1,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M1,F7,F8,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,M4,F10,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,F9,F7,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F10,F9,M2,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F9,M5,F9,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,F6,M1,M5,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M2,F6,RP2,,,,,,,,,,,,,,,1,0,0,1,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,F7,M3,,,,,,,,,,,,,,,1,0,0,1,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F9,RP2,F9,,,,,,,,,,,,,,,1,0,0,1,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F7,F6,F7,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F10,F8,M1,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,F7,F6,F6,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP2,F10,F10,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,RP2,F7,F7,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP2,RP2,F8,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,RP2,RP2,F8,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP2,RP2,M3,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,RP2,RP2,F6,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,,RP2,F10,,,,,,,,,,,,,,,0,,1,0,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,RP2,F10,,,,,,,,,,,,,,,0,,1,0,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,M2,M4,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,M5,F9,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,F8,F7,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,M4,M5,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,F9,F8,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,M3,F9,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,F6,F7,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,F10,RP2,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,F10,RP2,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,F8,RP2,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,M3,RP2,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,F8,RP2,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,F7,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,1,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,F10,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,1,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,F7,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,1,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,M4,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,1,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,
