screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,,pay table,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,weights,,game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M1,M2,F6,F8,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M1,RP1,RP1,F7,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M2,RP1,RP1,M1,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M5,F6,F10,F9,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F9,F10,M2,F10,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F9,F10,F6,WD,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F10,F9,F9,F7,RP1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M5,F9,M5,F8,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,F9,M5,F6,WD,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,M4,F8,M2,F10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M3,F7,RP2,F10,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,RP1,F9,F8,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M4,RP1,M2,BN,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F7,F6,M3,F6,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M2,F9,M3,F8,M5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M3,M5,F7,F9,F9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,F6,BN,F10,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,M4,F8,M1,RP2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,RP1,M2,F9,M5,F9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,RP1,F8,M4,F9,F10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,F7,M5,F10,M5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M5,M3,F10,M4,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M3,M2,F7,F6,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F6,F8,F8,M2,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,WD,F9,M5,F7,BN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F8,M3,M4,F8,F10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M2,RP1,M4,RP1,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F8,RP1,M1,M1,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F10,F8,F7,RP1,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M1,WD,F9,M3,F10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F7,F6,M4,M5,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M3,M4,RP1,M2,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,M5,M3,F10,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F7,F8,RP1,BN,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M5,M3,RP1,F9,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F9,F8,M3,M4,M5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F10,F10,F9,M5,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F10,BN,F8,M3,F7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F10,F7,F10,M1,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP1,F7,F7,M4,F7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP1,M3,F6,F8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F8,M4,M1,F7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F10,F6,M2,F7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M1,M1,M2,F9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M5,M3,F8,M3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M4,F7,F8,M4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,F8,F8,F10,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F8,M2,M4,F9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,
