screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,bonus trigger count,bonus trigger pay,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,,multipliers 3,weights 3,multipliers 4,weights 4,multipliers 5,weights 5,,top prizes enabled,,checkpoint weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,game
,,,,F10,,,,,,,,,SC11,250,,,,,,,,,,,,,,,,,,F10,0,0,5,10,100,,F10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,F7,RP1,RP1,F9,BN,20,10,10,25,18,,,,F7,RP1,RP1,F9,BN,0,1,1,1,1,,,,F7,RP2,RP2,F9,BN,0,1,1,0,0,,,,F7,F9,F9,F9,BN,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC1,0,25,25,25,25,25,25,25,25,25,,,,,,,,,,,,,,,BN,RP1,RP1,M1,F6,20,10,10,25,18,,,,BN,RP1,RP1,M1,F6,0,1,1,1,1,,,,BN,RP2,RP2,M1,F6,0,1,1,0,0,,,,F7,M2,F8,M3,F6,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC2,0,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,F7,RP1,RP1,F9,F10,20,10,10,25,18,,,,F7,RP1,RP1,F9,F10,0,1,1,1,1,,,,F7,RP2,RP2,F9,F10,0,1,1,0,0,,,,F7,F8,BN,F9,F10,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC3,0,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,M4,F8,F10,F7,F5,20,20,20,25,25,,,,M4,F8,F10,F7,F5,0,0,0,1,1,,,,M4,F8,F10,F7,F5,0,0,0,0,0,,,,M4,M4,F10,F7,F5,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC4,0,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,F5,F7,F7,F10,F9,20,20,20,25,25,,,,F5,F7,F7,F10,F9,0,0,0,1,1,,,,F5,F7,F7,F10,F9,0,0,0,0,0,,,,F5,F7,F7,M1,F10,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC5,0,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,F5,F5,WD,F10,M1,20,20,20,25,25,,,,F5,F5,WD,F10,M1,0,0,0,1,1,,,,F5,F5,WD,F10,M1,0,0,0,0,0,,,,F5,F5,M2,F10,M1,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC6,0,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,F9,WD,F5,F8,F10,20,20,20,25,25,,,,F9,WD,F5,F8,F10,0,0,0,1,1,,,,F9,WD,F5,F8,F10,0,0,0,0,0,,,,F9,WD,F5,F8,M1,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC7,0,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,BN,F6,F8,F7,F8,20,20,20,25,25,,,,BN,F6,F8,F7,F8,0,0,0,1,1,,,,BN,F6,F8,F7,F8,0,0,0,0,0,,,,BN,F6,F8,F7,F8,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC8,0,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,F6,M2,F10,M4,F9,20,20,20,25,25,,,,F6,M2,F10,M4,F9,0,0,0,1,1,,,,F6,M2,F10,M4,F9,0,0,0,0,0,,,,F6,F6,BN,M4,F9,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC9,0,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,F6,M4,BN,F8,BN,20,20,20,25,18,,,,F6,M4,BN,F8,BN,0,0,0,1,1,,,,F6,M4,BN,F8,BN,0,0,0,0,0,,,,F6,M4,F10,F8,BN,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC10,0,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,M1,F10,F9,F8,F6,20,20,20,25,18,,,,M1,F10,F9,F8,F6,0,0,0,1,1,,,,M1,F10,F9,F8,F6,0,0,0,0,0,,,,M1,F10,F9,F8,F6,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC11,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,F5,F9,M4,WD,F8,20,20,20,25,18,,,,F5,F9,M4,WD,F8,0,0,0,1,1,,,,F5,F9,M4,WD,F8,0,0,0,0,0,,,,F5,F9,M4,WD,M3,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F8,M1,F6,F9,20,20,20,25,25,,,,F5,F8,M1,F6,F9,0,0,0,1,1,,,,F5,F8,M1,F6,F9,0,0,0,0,0,,,,F5,F8,M1,F6,M1,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M1,F6,F6,F7,20,20,20,25,25,,,,F7,M1,F6,F6,F7,0,0,0,1,1,,,,F7,M1,F6,F6,F7,0,0,0,0,0,,,,F7,M1,F6,F6,F7,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F7,WD,F9,F7,20,20,20,25,25,,,,F5,F7,WD,F9,F7,0,0,0,1,1,,,,F5,F7,WD,F9,F7,0,0,0,0,0,,,,F5,F7,WD,F9,M4,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M4,F8,RP1,RP1,20,20,20,25,25,,,,F9,M4,F8,RP1,RP1,0,0,0,1,1,,,,F9,M4,F8,RP2,RP2,0,0,0,0,0,,,,F9,M4,F8,M4,RP2,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F7,M3,RP1,RP1,20,20,20,25,25,,,,BN,F7,M3,RP1,RP1,0,0,0,1,1,,,,BN,F7,M3,RP2,RP2,0,0,0,0,0,,,,BN,F7,F8,F9,RP2,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F8,F8,RP1,RP1,20,20,20,25,25,,,,F6,F8,F8,RP1,RP1,0,0,0,1,1,,,,F6,F8,F8,RP2,RP2,0,0,0,1,1,,,,F6,F8,M3,F7,RP2,0,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,WD,BN,RP1,RP1,20,20,20,25,25,,,,M3,WD,BN,RP1,RP1,0,0,0,1,1,,,,M3,WD,BN,RP2,RP2,0,0,0,1,1,,,,M3,WD,F7,F10,RP2,0,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,F5,RP1,RP1,20,20,20,25,25,,,,F9,F6,F5,RP1,RP1,0,0,0,1,1,,,,F9,F6,F5,RP2,RP2,0,0,0,1,1,,,,F9,F6,F5,RP2,RP2,0,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M3,F8,RP1,RP1,20,20,20,25,25,,,,F10,M3,F8,RP1,RP1,0,0,0,1,1,,,,F10,M3,F8,RP2,RP2,0,0,0,1,1,,,,F10,M3,BN,RP2,RP2,0,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F10,F5,RP1,RP1,10,20,20,25,25,,,,RP1,F10,F5,RP1,RP1,0,0,0,1,1,,,,RP2,F10,F5,RP2,RP2,0,0,0,1,1,,,,RP2,F10,F5,RP2,RP2,0,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F5,F9,RP1,RP1,10,20,20,25,25,,,,RP1,F5,F9,RP1,RP1,0,0,0,1,1,,,,RP2,F5,F9,RP2,RP2,0,0,0,1,1,,,,RP2,F5,F9,RP2,RP2,0,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP1,M2,RP1,RP1,10,10,20,25,25,,,,RP1,RP1,M2,RP1,RP1,1,0,0,1,1,,,,RP2,RP2,M2,RP2,RP2,1,0,0,1,1,,,,RP2,RP2,M2,RP2,RP2,1,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP1,F9,RP6,RP5,10,10,20,25,25,,,,RP1,RP1,F9,RP6,RP5,1,0,0,1,1,,,,RP2,RP2,F9,RP6,RP5,1,0,0,1,1,,,,RP2,RP2,F9,RP2,RP5,1,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP1,F7,RP7,RP5,10,10,20,25,25,,,,RP1,RP1,F7,RP7,RP5,1,1,0,1,1,,,,RP2,RP2,F7,RP7,RP5,1,1,0,1,1,,,,RP2,RP2,M4,RP2,RP5,1,1,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP1,RP1,RP8,RP4,10,10,10,2,2,,,,RP1,RP1,RP1,RP8,RP4,1,1,0,1,1,,,,RP2,RP2,RP2,RP8,RP4,1,1,0,2,2,,,,RP2,RP2,RP2,RP2,RP4,1,1,0,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP1,RP1,RP6,RP4,10,10,10,2,2,,,,RP1,RP1,RP1,RP6,RP4,1,1,0,1,1,,,,RP2,RP2,RP2,RP6,RP4,1,1,0,2,2,,,,RP2,RP2,RP2,RP6,RP4,1,1,0,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP1,RP1,RP7,RP3,10,10,10,2,2,,,,RP1,RP1,RP1,RP7,RP3,1,1,1,1,1,,,,RP2,RP2,RP2,RP7,RP3,1,1,1,2,2,,,,RP2,RP2,RP2,RP7,RP3,1,1,1,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP1,RP1,RP8,RP3,20,10,10,2,2,,,,F6,RP1,RP1,RP8,RP3,0,1,1,1,1,,,,F6,RP2,RP2,RP8,RP3,0,1,1,2,2,,,,F6,RP2,RP2,RP8,RP3,0,1,1,2,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP8,RP1,,,20,10,10,,,,,,F8,RP8,RP1,,,0,0,1,,,,,,F8,RP8,RP2,,,0,1,1,,,,,,F8,RP8,RP2,RP6,,0,1,1,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,RP8,RP1,,,20,10,10,,,,,,M2,RP8,RP1,,,0,0,1,,,,,,M2,RP8,RP2,,,0,1,1,,,,,,M2,RP8,RP2,RP7,,0,1,1,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP6,RP1,,,20,2,10,,,,,,F9,RP6,RP1,,,0,0,1,,,,,,F9,RP6,RP2,,,0,2,1,,,,,,F9,RP6,RP2,RP8,,0,2,1,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,RP6,RP3,,,20,2,10,,,,,,F10,RP6,RP3,,,0,0,0,,,,,,F10,RP6,RP3,,,0,2,1,,,,,,M4,RP6,RP3,,,0,2,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,RP7,RP3,,,20,2,10,,,,,,F10,RP7,RP3,,,0,0,0,,,,,,F10,RP7,RP3,,,0,2,1,,,,,,F10,RP7,RP3,,,0,2,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP7,RP4,,,20,2,2,,,,,,F8,RP7,RP4,,,0,0,0,,,,,,F8,RP7,RP4,,,0,2,2,,,,,,F8,RP7,RP9,,,0,2,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,,RP4,,,20,,2,,,,,,BN,,RP4,,,0,,0,,,,,,BN,,RP4,,,0,,2,,,,,,BN,,RP10,,,0,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,RP5,,,20,,2,,,,,,F8,,RP5,,,0,,0,,,,,,F8,,RP5,,,0,,2,,,,,,F8,,RP5,,,0,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,RP5,,,20,,2,,,,,,F7,,RP5,,,0,,0,,,,,,F7,,RP5,,,0,,2,,,,,,M3,,RP5,,,0,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,20,,,,,,,,F6,,,,,0,,,,,,,,F6,,,,,0,,,,,,,,F6,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,20,,,,,,,,F6,,,,,0,,,,,,,,F6,,,,,0,,,,,,,,F6,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,20,,,,,,,,F6,,,,,0,,,,,,,,F6,,,,,0,,,,,,,,F6,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,20,,,,,,,,F9,,,,,0,,,,,,,,F9,,,,,0,,,,,,,,M4,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,10,,,,,,,,RP1,,,,,0,,,,,,,,RP2,,,,,0,,,,,,,,F5,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,10,,,,,,,,RP1,,,,,0,,,,,,,,RP2,,,,,0,,,,,,,,M3,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,10,,,,,,,,RP1,,,,,1,,,,,,,,RP2,,,,,1,,,,,,,,F9,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,10,,,,,,,,RP1,,,,,1,,,,,,,,RP2,,,,,1,,,,,,,,BN,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,10,,,,,,,,RP1,,,,,1,,,,,,,,RP2,,,,,1,,,,,,,,F6,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,10,,,,,,,,RP1,,,,,1,,,,,,,,RP2,,,,,1,,,,,,,,F6,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,10,,,,,,,,RP1,,,,,1,,,,,,,,RP2,,,,,1,,,,,,,,M1,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,10,,,,,,,,RP1,,,,,1,,,,,,,,RP2,,,,,1,,,,,,,,F10,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP3,,,,,10,,,,,,,,RP3,,,,,0,,,,,,,,RP3,,,,,1,,,,,,,,RP3,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP3,,,,,10,,,,,,,,RP3,,,,,0,,,,,,,,RP3,,,,,1,,,,,,,,RP3,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP4,,,,,2,,,,,,,,RP4,,,,,0,,,,,,,,RP4,,,,,2,,,,,,,,RP4,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP4,,,,,2,,,,,,,,RP4,,,,,0,,,,,,,,RP4,,,,,2,,,,,,,,RP4,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP5,,,,,2,,,,,,,,RP5,,,,,0,,,,,,,,RP5,,,,,2,,,,,,,,RP5,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP5,,,,,2,,,,,,,,RP5,,,,,0,,,,,,,,RP5,,,,,2,,,,,,,,RP5,,,,,2,,,,,,
