screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,,reels 0 weighted,reels 1 weighted,reels 2 weighted,reels 3 weighted,reels 4 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,reels 1,reels 1,reels 1,reels 1,reels 1,reels 2,reels 2,reels 2,reels 2,reels 2,reels 3,reels 3,reels 3,reels 3,reels 3,reels 4,reels 4,reels 4,reels 4,reels 4,,game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F5,M4,F6,,M1,F5,M4,F6,,M1,F5,M4,F6,,M1,F5,M4,F6,,M1,F5,M4,F6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,F6,F5,,F8,F6,F6,F5,,F8,F6,F6,F5,,F8,F6,F6,F5,,F8,F6,F6,F5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M1,F5,F5,,F8,M1,F5,F5,,F8,M1,F5,F5,,F8,M1,F5,F5,,F8,M1,F5,F5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F7,F5,M1,,F9,F7,F5,M1,,F9,F7,F5,M1,,F9,F7,F5,M1,,F9,F7,F5,M1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M4,M1,M1,,F9,M4,M1,M1,,F9,M4,M1,M1,,F9,M4,M1,M1,,F9,M4,M1,M1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F5,M1,F8,,F6,F5,M1,F8,,F6,F5,M1,F8,,F6,F5,M1,F8,,F6,F5,M1,F8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F5,F6,F9,,F6,F5,F6,F9,,F6,F5,F6,F9,,F6,F5,F6,F9,,F6,F5,F6,F9,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,WD,F7,,,M1,W2,F7,,,M1,W3,F7,,,M1,W4,F7,,,M1,W5,F7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,WD,F7,,,F7,W2,F7,,,F7,W3,F7,,,F7,W4,F7,,,F7,W5,F7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F8,F8,,,F5,F8,F8,,,F5,F8,F8,,,F5,F8,F8,,,F5,F8,F8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M1,,,,F8,M1,,,,F8,M1,,,,F8,M1,,,,F8,M1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F5,,,,M1,F5,,,,M1,F5,,,,M1,F5,,,,M1,F5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F5,,,,F9,F5,,,,F9,F5,,,,F9,F5,,,,F9,F5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
