screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,RP2,RP2,M4,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F9,RP2,F8,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,RP2,M5,M5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M4,F7,M3,F8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F8,M1,F10,WD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M3,F9,M2,F10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,WD,WD,F6,F10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M1,F8,F6,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F9,M4,M5,F9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M4,F10,M3,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F8,F8,F7,RP3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M5,BN,F9,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F10,F9,WD,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F8,M5,F7,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,WD,F8,M4,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,RP1,M3,F10,M4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP1,F6,F10,F7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F9,BN,M3,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F6,F9,F6,M1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M4,M4,M2,M3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F10,F10,F8,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M5,WD,F6,F6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M2,F7,M5,M5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M4,F9,F9,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,WD,F6,M1,RP3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F7,M2,RP1,M5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F8,RP1,RP1,M2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M4,RP1,RP1,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M2,RP1,RP1,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,M1,RP1,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,WD,RP1,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP1,M3,RP1,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP1,F8,,RP1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,RP1,F8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M1,F9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M1,F10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,M1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M5,M5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,WD,RP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F9,RP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F7,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,
