screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,,wild num,wild yes,wild no,,small wheel values,small wheel weights,medium wheel values,medium wheel weights,big wheel values,big wheel weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,,,,game
,,,,F10,,,,,,,,,,,,F10,0,0,2,10,50,,F10,9,0,,,,,,,,,,,,,,,F9,F6,WD,WD,M4,1,1,1,1,1,,,,F9,F6,WD,WD,M4,1,1,1,1,1,,,,F9,F6,WD,WD,M4,1,1,1,1,1,,,,F9,F6,WD,WD,M4,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M5,WD,WD,M3,1,1,1,1,1,,,,F7,M5,WD,WD,M3,1,1,1,1,1,,,,F7,M5,WD,WD,M3,1,1,1,1,1,,,,F7,M5,WD,WD,M3,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,WD,M5,M1,F8,1,1,1,1,1,,,,F7,WD,M5,M1,F8,1,1,1,1,1,,,,F7,WD,M5,M1,F8,1,1,1,1,1,,,,F7,WD,M5,M1,F8,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F10,M1,M1,M1,1,1,1,1,1,,,,F8,F10,M1,M1,M1,1,1,1,1,1,,,,F8,F10,M1,M1,M1,1,1,1,1,1,,,,F8,F10,M1,M1,M1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,WD,F7,M2,M1,1,1,1,1,1,,,,F10,WD,F7,M2,M1,1,1,1,1,1,,,,F10,WD,F7,M2,M1,1,1,1,1,1,,,,F10,WD,F7,M2,M1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F9,F9,M2,M1,1,1,1,1,1,,,,F10,F9,F9,M2,M1,1,1,1,1,1,,,,F10,F9,F9,M2,M1,1,1,1,1,1,,,,F10,F9,F9,M2,M1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,M2,F9,M1,1,1,1,1,1,,,,F9,F6,M2,F9,M1,1,1,1,1,1,,,,F9,F6,M2,F9,M1,1,1,1,1,1,,,,F9,F6,M2,F9,M1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,F7,F9,M2,1,1,1,1,1,,,,F9,F8,F7,F9,M2,1,1,1,1,1,,,,F9,F8,F7,F9,M2,1,1,1,1,1,,,,F9,F8,F7,F9,M2,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M5,F7,BN,M3,1,1,1,1,1,,,,F7,M5,F7,BN,M3,1,1,1,1,1,,,,F7,M5,F7,BN,M3,1,1,1,1,1,,,,F7,M5,F7,M5,M3,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,M1,F8,M3,1,1,1,1,1,,,,F6,F9,M1,F8,M3,1,1,1,1,1,,,,F6,F9,M1,F8,M3,1,1,1,1,1,,,,F6,F9,M1,F8,M3,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F9,F8,F8,M5,1,1,1,1,1,,,,M1,F9,F8,F8,M5,1,1,1,1,1,,,,M1,F9,F8,F8,M5,1,1,1,1,1,,,,M1,F9,F8,F8,M5,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M5,M3,M2,F6,1,1,1,1,1,,,,M1,M5,M3,M2,F6,1,1,1,1,1,,,,M1,M5,M3,M2,F6,1,1,1,1,1,,,,M1,M5,M3,M2,F6,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,F9,M2,M3,1,1,1,1,1,,,,F8,F8,F9,M2,M3,1,1,1,1,1,,,,F8,F8,F9,M2,M3,1,1,1,1,1,,,,F8,F8,F9,M2,M3,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M3,M2,M5,F6,1,1,1,1,1,,,,F6,M3,M2,M5,F6,1,1,1,1,1,,,,F6,M3,M2,M5,F6,1,1,1,1,1,,,,F6,M3,M2,M5,F6,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M1,M2,F9,M4,1,1,1,1,1,,,,F6,M1,M2,F9,M4,1,1,1,1,1,,,,F6,M1,M2,F9,M4,1,1,1,1,1,,,,F6,M1,M2,F9,M4,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M2,F7,F8,F7,1,1,1,1,1,,,,M2,M2,F7,F8,F7,1,1,1,1,1,,,,M2,M2,F7,F8,F7,1,1,1,1,1,,,,M2,M2,F7,F8,F7,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M2,F9,M1,F9,1,1,1,1,1,,,,M2,M2,F9,M1,F9,1,1,1,1,1,,,,M2,M2,F9,M1,F9,1,1,1,1,1,,,,M2,M2,F9,M1,F9,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F7,M5,F8,M4,1,1,1,1,1,,,,F10,F7,M5,F8,M4,1,1,1,1,1,,,,F10,F7,M5,F8,M4,1,1,1,1,1,,,,F10,F7,M5,F8,M4,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F7,F9,M1,M1,1,1,1,1,1,,,,F10,F7,F9,M1,RP1,1,1,1,1,1,,,,F10,F7,F9,M1,RP1,1,1,1,1,1,,,,F10,F7,F9,M1,RP1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,BN,F10,F7,M1,1,1,1,1,1,,,,BN,BN,F10,F7,RP1,1,1,1,1,1,,,,BN,BN,F10,F7,RP1,1,1,1,1,1,,,,BN,BN,F10,F7,RP1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F8,WD,M3,M1,1,1,1,1,1,,,,F7,F8,WD,M3,RP1,1,1,1,1,1,,,,F7,F8,WD,M3,RP1,1,1,1,1,1,,,,F7,F8,WD,M3,RP1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F8,F6,M3,M1,1,1,1,1,1,,,,M3,F8,F6,M3,RP1,1,1,1,1,1,,,,M3,F8,F6,M3,RP1,1,1,1,1,1,,,,M3,F8,F6,M3,RP1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F7,WD,F7,M1,1,1,1,1,1,,,,M3,F7,WD,F7,RP1,1,1,1,1,1,,,,M3,F7,WD,F7,RP1,1,1,1,1,1,,,,M3,F7,WD,F7,RP1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M3,M5,F9,M1,1,1,1,1,1,,,,F10,M3,M5,F9,RP1,1,1,1,1,1,,,,F10,M3,M5,F9,RP1,1,1,1,1,1,,,,F10,M3,M5,F9,RP1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M3,M3,F6,M1,1,1,1,1,1,,,,F8,M3,M3,F6,RP1,1,1,1,1,1,,,,F8,M3,M3,F6,RP1,1,1,1,1,1,,,,F8,M3,M3,F6,RP1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M4,F6,F6,M1,1,1,1,1,1,,,,M4,M4,F6,F6,RP1,1,1,1,1,1,,,,M4,M4,F6,F6,RP1,1,1,1,1,1,,,,M4,M4,F6,F6,RP1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,F6,F7,M1,1,1,1,1,1,,,,F8,F6,F6,F7,RP1,1,1,1,1,1,,,,F8,F6,F6,F7,RP1,1,1,1,1,1,,,,F8,F6,F6,F7,RP1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,F8,BN,M1,1,1,1,1,1,,,,F9,F6,F8,BN,RP1,1,1,1,1,1,,,,F9,F6,F8,BN,RP1,1,1,1,1,1,,,,F9,F6,F8,BN,RP1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,BN,BN,F10,,1,1,1,1,1,,,,M3,BN,BN,F10,F10,1,1,1,1,1,,,,M3,BN,BN,F10,F10,1,1,1,1,1,,,,M3,BN,BN,F10,F10,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F10,F10,M4,,1,1,1,1,1,,,,F6,F10,F10,M4,F10,1,1,1,1,1,,,,F6,F10,F10,M4,F10,1,1,1,1,1,,,,F6,F10,F10,M4,F10,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F10,F9,M4,,1,1,1,1,1,,,,M5,F10,F9,M4,F8,1,1,1,1,1,,,,M5,F10,F9,M4,F8,1,1,1,1,1,,,,M5,F10,F9,M4,F8,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M4,F8,M5,,1,1,1,1,1,,,,F6,M4,F8,M5,F7,1,1,1,1,1,,,,F6,M4,F8,M5,F7,1,1,1,1,1,,,,F6,M4,F8,M5,F7,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M4,M4,F6,,1,1,1,1,1,,,,M5,M4,M4,F6,F9,1,1,1,1,1,,,,M5,M4,M4,F6,F9,1,1,1,1,1,,,,M5,M4,M4,F6,F9,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M1,M4,M4,,1,1,1,1,1,,,,M4,M1,M4,M4,M5,1,1,1,1,1,,,,M4,M1,M4,M4,M5,1,1,1,1,1,,,,M4,M1,M4,M4,M5,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F9,F10,M3,,1,1,1,1,1,,,,F8,F9,F10,M3,M2,1,1,1,1,1,,,,F8,F9,F10,M3,M2,1,1,1,1,1,,,,F8,F9,F10,M3,M2,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F9,BN,WD,,1,1,1,1,1,,,,M4,F9,BN,WD,M2,1,1,1,1,1,,,,M4,F9,BN,WD,M2,1,1,1,1,1,,,,M4,F9,BN,WD,M2,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F6,F7,WD,,1,1,1,1,1,,,,F7,F6,F7,WD,M2,1,1,1,1,1,,,,F7,F6,F7,WD,M2,1,1,1,1,1,,,,F7,F6,F7,WD,M2,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,WD,M3,WD,,1,1,1,1,1,,,,F7,WD,M3,WD,F7,1,1,1,1,1,,,,F7,WD,M3,WD,F7,1,1,1,1,1,,,,F7,WD,M3,WD,F7,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,M4,WD,,1,1,1,1,1,,,,F9,F6,M4,WD,M4,1,1,1,1,1,,,,F9,F6,M4,WD,M4,1,1,1,1,1,,,,F9,F6,M4,WD,M4,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,WD,F10,WD,,1,1,1,1,1,,,,F9,WD,F10,WD,M3,1,1,1,1,1,,,,F9,WD,F10,WD,M3,1,1,1,1,1,,,,F9,WD,F10,WD,M3,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F8,WD,WD,,1,1,1,1,1,,,,M1,F8,WD,WD,F8,1,1,1,1,1,,,,M1,F8,WD,WD,F8,1,1,1,1,1,,,,M1,F8,WD,WD,F8,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,WD,F9,WD,,1,1,1,1,1,,,,F8,WD,F9,WD,M1,1,1,1,1,1,,,,F8,WD,F9,WD,M1,1,1,1,1,1,,,,F8,WD,F9,WD,M1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F9,WD,WD,,1,1,1,1,1,,,,F10,F9,WD,WD,M1,1,1,1,1,1,,,,F10,F9,WD,WD,M1,1,1,1,1,1,,,,F10,F9,WD,WD,M1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M5,F10,M1,,1,1,1,0,1,,,,F9,M5,F10,RP2,M1,1,1,1,0,1,,,,F9,M5,F10,RP2,M1,1,1,1,1,1,,,,F9,M5,F10,RP2,M1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,M1,,1,1,1,0,1,,,,RP1,RP2,RP1,RP2,M1,1,1,1,0,1,,,,RP1,RP2,RP1,RP2,M1,1,1,1,1,1,,,,RP1,RP2,RP1,RP2,M1,1,1,1,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,M1,,1,1,1,0,1,,,,RP1,RP2,RP1,RP2,M2,1,1,1,0,1,,,,RP1,RP2,RP1,RP2,M2,1,1,1,1,1,,,,RP1,RP2,RP1,RP2,M2,1,1,1,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,M1,,1,1,1,0,1,,,,RP1,RP2,RP1,RP2,M3,1,1,1,0,1,,,,RP1,RP2,RP1,RP2,M3,1,1,1,1,1,,,,RP1,RP2,RP1,RP2,M3,1,1,1,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,M1,,1,1,1,0,1,,,,RP1,RP2,RP1,RP2,M3,1,1,1,0,1,,,,RP1,RP2,RP1,RP2,M3,1,1,1,1,1,,,,RP1,RP2,RP1,RP2,M3,1,1,1,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,M1,,1,1,1,0,0,,,,RP1,RP2,RP1,RP2,M5,1,1,1,0,0,,,,RP1,RP2,RP1,RP2,M5,1,1,1,1,1,,,,RP1,RP2,RP1,RP2,M5,1,1,1,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,M1,,1,1,1,0,0,,,,RP1,RP2,RP1,RP2,F6,1,1,1,0,0,,,,RP1,RP2,RP1,RP2,F6,1,1,1,1,1,,,,RP1,RP2,RP1,RP2,F6,1,1,1,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,M1,,1,1,1,0,0,,,,RP1,RP2,RP1,RP2,M3,1,1,1,0,0,,,,RP1,RP2,RP1,RP2,M3,1,1,1,1,1,,,,RP1,RP2,RP1,RP2,M3,1,1,1,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,M1,,1,1,1,0,0,,,,RP1,RP2,RP1,RP2,F6,1,1,1,0,0,,,,RP1,RP2,RP1,RP2,F6,1,1,1,1,1,,,,RP1,RP2,RP1,RP2,F6,1,1,1,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,M1,,1,1,1,0,0,,,,RP1,RP2,RP1,RP2,M4,1,1,1,0,0,,,,RP1,RP2,RP1,RP2,M4,1,1,1,0,1,,,,RP1,RP2,RP1,RP2,M4,1,1,1,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,,,1,1,1,,0,,,,RP1,RP2,RP1,,F7,1,1,1,,0,,,,RP1,RP2,RP1,,F7,1,1,1,,1,,,,RP1,RP2,RP1,,F7,1,1,1,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,,,1,1,1,,0,,,,RP1,RP2,RP1,,F9,1,1,1,,0,,,,RP1,RP2,RP1,,F9,1,1,1,,1,,,,RP1,RP2,RP1,,F9,1,1,1,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,,,0,1,0,,0,,,,RP1,RP2,RP1,,M4,0,1,1,,0,,,,RP1,RP2,RP1,,M4,0,1,1,,0,,,,RP1,RP2,RP1,,M4,0,1,1,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,,,0,0,0,,0,,,,RP1,RP2,RP1,,RP1,0,1,1,,0,,,,RP1,RP2,RP1,,RP1,0,1,1,,0,,,,RP1,RP2,RP1,,RP1,0,1,1,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,,,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,1,0,,0,,,,RP1,RP2,RP1,,RP1,0,1,0,,0,,,,RP1,RP2,RP1,,RP1,0,1,0,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,,,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,,,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,,,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,,,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,,,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,,,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M1,M1,,,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,RP1,RP2,RP1,,RP1,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,,,,,,,,,RP1,,,,,,,,,,,,,RP1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,,,,,,,,,,,,,F7,,,,,,,,,,,,,BN,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,,,,,,,,,F9,,,,,,,,,,,,,F9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,,,,,,,,,,,,,M5,,,,,,,,,,,,,M5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,
