screen size,,independent reels,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,,actual hits threshold,multiplier defaults to,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,,game
,,,,,,F10,,,,,,,,,,,,,,,,,,,,,,,,,,F10,0,0,0,0,0,,SCJ2,0,0,0,0,0,0,0,0,5,6,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,20,100,20,100,20,100,6,1,6,100,20,1,0,1,20,100,6,1,6,100,20,100,20,100,20,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,200,200,200,200,200,200,90,80,90,200,200,80,0,80,200,200,90,80,90,200,200,200,200,200,200,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCJ3,0,0,0,0,0,0,0,0,5,3,,,,,,,BL,BL,BL,BL,BL,BL,RP1,RP1,RP1,BL,BL,RP1,BL,RP1,BL,BL,RP1,RP1,RP1,BL,BL,BL,BL,BL,BL,20,100,20,100,20,100,1,1,1,100,20,1,0,1,20,100,1,1,1,100,20,100,20,100,20,,,,BL,BL,BL,BL,BL,BL,RP1,RP1,RP1,BL,BL,RP1,BL,RP1,BL,BL,RP1,RP1,RP1,BL,BL,BL,BL,BL,BL,200,200,200,200,200,200,1,1,1,200,200,1,0,1,200,200,1,1,1,200,200,200,200,200,200,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCJ4,0,0,0,0,0,0,0,0,5,1,,,,,,,RP7,BL,RP7,BL,RP7,BL,BL,BL,BL,BL,RP7,BL,BL,BL,RP7,BL,BL,BL,BL,BL,RP7,BL,RP7,BL,RP7,4,100,4,100,4,100,6,1,6,100,4,1,0,1,4,100,6,1,6,100,4,100,4,100,4,,,,RP7,BL,RP7,BL,RP7,BL,BL,BL,BL,BL,RP7,BL,BL,BL,RP7,BL,BL,BL,BL,BL,RP7,BL,RP7,BL,RP7,1,200,1,200,1,200,90,80,90,200,1,80,0,80,1,200,90,80,90,200,1,200,1,200,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM2,0,0,0,0,0,0,0,0,0,0,,,,,,,RP5,RP4,RP5,RP4,RP5,RP4,BL,BL,BL,RP4,RP5,BL,BL,BL,RP5,RP4,BL,BL,BL,RP4,RP5,RP4,RP5,RP4,RP5,4,1,4,1,4,1,6,1,6,1,4,1,0,1,4,1,6,1,6,1,4,1,4,1,4,,,,RP5,RP4,RP5,RP4,RP5,RP4,BL,BL,BL,RP4,RP5,BL,BL,BL,RP5,RP4,BL,BL,BL,RP4,RP5,RP4,RP5,RP4,RP5,1,1,1,1,1,1,90,80,90,1,1,80,0,80,1,1,90,80,90,1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP6,RP9,RP6,RP9,RP6,RP9,BL,BL,BL,RP9,RP6,BL,BL,BL,RP6,RP9,BL,BL,BL,RP9,RP6,RP9,RP6,RP9,RP6,4,1,4,1,4,1,6,1,6,1,4,1,0,1,4,1,6,1,6,1,4,1,4,1,4,,,,RP6,RP9,RP6,RP9,RP6,RP9,BL,BL,BL,RP9,RP6,BL,BL,BL,RP6,RP9,BL,BL,BL,RP9,RP6,RP9,RP6,RP9,RP6,1,1,1,1,1,1,90,80,90,1,1,80,0,80,1,1,90,80,90,1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,RP1,BL,RP1,BL,RP1,RP2,RP2,RP2,RP1,BL,RP2,BL,RP2,BL,RP1,RP2,RP2,RP2,RP1,BL,RP1,BL,RP1,BL,20,1,20,1,20,1,1,1,1,1,20,1,0,1,20,1,1,1,1,1,20,1,20,1,20,,,,BL,RP1,BL,RP1,BL,RP1,RP2,RP2,RP2,RP1,BL,RP2,BL,RP2,BL,RP1,RP2,RP2,RP2,RP1,BL,RP1,BL,RP1,BL,200,1,200,1,200,1,1,1,1,1,200,1,0,1,200,1,1,1,1,1,200,1,200,1,200,,
,,,,,,,,,,,,,,,,     Ê                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,20,100,20,100,20,100,6,1,6,100,20,1,0,1,20,100,6,1,6,100,20,100,20,100,20,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,200,200,200,200,200,200,90,80,90,200,200,80,0,80,200,200,90,80,90,200,200,200,200,200,200,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,4,100,4,100,4,100,6,1,6,100,4,1,0,1,4,100,6,1,6,100,4,100,4,100,4,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,200,200,200,200,200,200,90,80,90,200,200,80,0,80,200,200,90,80,90,200,200,200,200,200,200,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP3,RP6,RP3,RP6,RP3,RP6,RP3,RP3,RP3,RP6,RP3,RP3,BL,RP3,RP3,RP6,RP3,RP3,RP3,RP6,RP3,RP6,RP3,RP6,RP3,2,1,2,1,2,1,1,1,1,1,2,1,0,1,2,1,1,1,1,1,2,1,2,1,2,,,,RP3,RP6,RP3,RP6,RP3,RP6,RP3,RP3,RP3,RP6,RP3,RP3,BL,RP3,RP3,RP6,RP3,RP3,RP3,RP6,RP3,RP6,RP3,RP6,RP3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP4,RP5,RP4,RP5,RP4,RP5,RP4,RP4,RP4,RP5,RP4,RP4,BL,RP4,RP4,RP5,RP4,RP4,RP4,RP5,RP4,RP5,RP4,RP5,RP4,2,1,2,1,2,1,1,1,1,1,2,1,0,1,2,1,1,1,1,1,2,1,2,1,2,,,,RP4,RP5,RP4,RP5,RP4,RP5,RP4,RP4,RP4,RP5,RP4,RP4,BL,RP4,RP4,RP5,RP4,RP4,RP4,RP5,RP4,RP5,RP4,RP5,RP4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,
