screen size,,independent reels,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,weights rp14,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,,game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP13,BL,BL,RP7,RP7,BL,BL,RP7,RP7,RP7,BL,RP7,BL,RP6,BL,1,8,30,1,1,17,4,1,1,1,3,1,1,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP13,BL,RP12,BL,BL,RP8,RP8,BL,BL,BL,RP8,BL,RP6,BL,RP7,1,8,1,18,30,1,1,8,7,6,1,6,5,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,RP12,BL,RP8,RP8,RP10,RP10,RP8,RP8,RP8,RP10,RP8,BL,RP7,RP8,30,1,30,1,1,1,1,1,1,1,1,1,1,5,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,RP10,RP10,RP10,RP10,RP10,RP10,RP10,RP10,RP10,RP7,RP8,RP9,30,8,30,1,1,1,1,1,1,1,1,1,5,5,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP12,BL,RP14,RP9,RP10,RP1,RP1,RP9,RP10,RP10,RP1,RP9,RP8,RP9,RP10,1,8,1,1,1,1,1,1,1,1,1,1,5,5,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,RP14,RP14,BL,RP1,BL,BL,BL,RP1,RP1,BL,BL,RP9,RP10,BL,30,1,1,18,1,17,4,8,1,1,3,6,5,5,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,RP14,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,RP10,BL,RP1,30,1,30,18,30,17,4,8,10,6,3,6,5,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP14,BL,BL,RP10,BL,RP3,RP3,RP10,BL,BL,RP3,RP10,BL,RP1,BL,1,8,30,1,30,1,1,1,6,6,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP14,BL,RP14,,,,,,,,,,,,,1,8,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP14,RP14,RP11,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,RP11,BL,,,,,,,,,,,,,30,1,30,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP11,BL,RP11,,,,,,,,,,,,,1,8,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP11,RP11,BL,,,,,,,,,,,,,1,1,30,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP11,BL,RP11,,,,,,,,,,,,,1,8,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,RP11,RP12,,,,,,,,,,,,,30,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP12,RP12,RP13,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,RP13,BL,,,,,,,,,,,,,30,1,30,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,,,,,,,30,8,30,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP12,BL,RP12,,,,,,,,,,,,,1,8,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,RP12,BL,,,,,,,,,,,,,30,1,30,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP13,BL,BL,,,,,,,,,,,,,1,8,30,,,,,,,,,,,,,,
