screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,,pick weights,,feature reels,feature reels weights,,,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,reels 4 weighted,,reels 4,reels 4,reels 4,reels 4,reels 4,weights,weights,weights,weights,weights,,reels 5 weighted,,reels 5,reels 5,reels 5,reels 5,reels 5,weights,weights,weights,weights,weights,,game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,F9,F5,F7,F5,WD,,,,,,,,,F9,F5,F7,F5,WD,1,0,0,0,1,,,,F9,F5,F7,F5,WD,1,1,0,0,1,,,,F9,F5,F7,F5,WD,1,0,0,0,1,,,,F9,F5,F7,F5,WD,1,0,1,1,0,,,,F9,F5,F7,F5,WD,1,10,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,F7,F5,F5,WD,M2,,,,,,,,,F7,F5,RP3,WD,M2,1,0,0,1,1,,,,F7,F5,RP3,WD,M2,1,0,0,5,1,,,,F7,F5,RP3,WD,M2,1,1,0,0,1,,,,F7,F5,RP3,WD,M2,1,0,1,0,1,,,,F7,F5,RP3,WD,M2,1,2,1,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,F7,M4,WD,F7,M2,,,,,,,,,F7,M4,WD,M1,M2,1,0,1,0,1,,,,F7,M4,WD,M1,M2,1,0,5,2,1,,,,F7,M4,WD,M1,M2,1,0,0,0,1,,,,F7,M4,WD,M1,M2,1,1,1,0,1,,,,F7,M4,WD,M1,M2,1,1,10,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,F8,M3,M1,F7,F9,,,,,,,,,F8,M3,M1,M1,F9,1,0,0,0,1,,,,F8,M3,M1,M1,F9,1,0,2,1,1,,,,F8,M3,M1,M1,F9,1,0,0,0,1,,,,F8,M3,M1,M1,F9,1,1,0,0,1,,,,F8,M3,M1,M1,F9,1,1,10,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,M4,F8,F7,M2,BN,,,,,,,,,M4,F8,F7,M2,M1,1,0,0,0,1,,,,M4,F8,F7,M2,M1,1,0,1,0,1,,,,M4,F8,F7,M2,M1,1,0,0,1,1,,,,M4,F8,F7,M2,M1,1,1,0,0,0,,,,M4,F8,F7,M2,M1,1,1,10,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,RP1,RP1,F9,M2,F7,,,,,,,,,RP3,F9,F9,M2,F7,1,0,0,0,1,,,,RP3,F9,F9,M2,F7,1,0,0,0,1,,,,RP3,F9,F9,M2,F7,1,0,1,0,1,,,,RP3,F9,F9,M2,F7,1,1,0,1,0,,,,RP3,F9,F9,M2,F7,1,1,2,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,RP1,F8,M2,F9,M4,,,,,,,,,RP3,F6,M2,F9,M4,1,0,0,0,1,,,,RP3,F6,M2,F9,M4,1,0,0,0,1,,,,RP3,F6,M2,F9,M4,1,0,0,0,1,,,,RP3,F6,M2,F9,M4,1,1,1,1,0,,,,RP3,F6,M2,F9,M4,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,RP1,RP1,F7,F9,M3,,,,,,,,,RP3,F8,F7,F9,M3,1,0,0,0,1,,,,RP3,F8,F7,F9,M3,1,0,0,0,1,,,,RP3,F8,F7,F9,M3,1,0,0,0,1,,,,RP3,F8,F7,F9,M3,1,1,1,1,0,,,,RP3,F8,F7,F9,M3,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,RP1,F6,F7,F5,F8,,,,,,,,,RP3,F5,F7,WD,F8,1,0,0,1,1,,,,RP3,F5,F7,WD,F8,1,0,0,5,1,,,,RP3,F5,F7,WD,F8,1,0,0,0,1,,,,RP3,F5,F7,WD,F8,1,1,1,0,0,,,,RP3,F5,F7,WD,F8,1,1,1,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,RP1,F6,BN,WD,M1,,,,,,,,,RP3,F6,M1,F8,M1,1,0,0,0,1,,,,RP3,F6,M1,F8,M1,1,0,0,2,1,,,,RP3,F6,M1,F8,M1,1,0,0,0,1,,,,RP3,F6,M1,F8,M1,1,1,1,0,0,,,,RP3,F6,M1,F8,M1,1,1,1,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,M1,M3,F8,F8,M1,,,,,,,,,M1,M3,F8,F8,M1,1,0,0,0,1,,,,M1,M3,F8,F8,M1,1,0,0,1,1,,,,M1,M3,F8,F8,M1,1,0,0,0,1,,,,M1,M3,F8,F8,M1,1,1,1,0,0,,,,M1,M3,F8,F8,M1,1,1,1,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,F8,F8,M4,M2,M1,,,,,,,,,M1,F8,M4,M2,M1,1,0,0,0,1,,,,M1,F8,M4,M2,M1,1,0,0,0,1,,,,M1,F8,M4,M2,M1,1,0,0,1,1,,,,M1,F8,M4,M2,M1,1,1,1,0,0,,,,M1,F8,M4,M2,M1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,F8,F8,M2,RP1,M2,,,,,,,,,F8,RP3,M2,M2,WD,1,0,0,0,1,,,,F8,RP3,M2,M2,WD,1,0,0,0,1,,,,F8,RP3,M2,M2,WD,1,0,0,0,1,,,,F8,RP3,M2,M2,WD,1,1,1,1,0,,,,F8,RP3,M2,M2,WD,1,1,1,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,F9,WD,M2,RP1,M3,,,,,,,,,F6,WD,M2,M2,M2,1,1,0,0,1,,,,F6,WD,M2,M2,M2,1,5,0,0,1,,,,F6,WD,M2,M2,M2,1,0,0,0,1,,,,F6,WD,M2,M2,M2,1,1,1,1,1,,,,F6,WD,M2,M2,M2,1,10,1,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,F9,M1,RP1,F9,M3,,,,,,,,,F6,M1,F5,F9,M3,1,0,0,0,1,,,,F6,M1,F5,F9,M3,1,2,0,0,1,,,,F6,M1,F5,F9,M3,1,0,0,0,1,,,,F6,M1,F5,F9,M3,1,0,1,1,1,,,,F6,M1,F5,F9,M3,1,10,1,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M2,M3,F8,WD,,,,,,,,,M2,M2,M3,F8,M3,1,0,0,0,1,,,,M2,M2,M3,F8,M3,1,1,0,0,1,,,,M2,M2,M3,F8,M3,1,0,0,0,1,,,,M2,M2,M3,F8,M3,1,0,1,1,1,,,,M2,M2,M3,F8,M3,1,10,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M2,M3,M2,M4,,,,,,,,,M2,M2,M3,M1,M2,1,0,0,0,1,,,,M2,M2,M3,M1,M2,1,0,0,0,1,,,,M2,M2,M3,M1,M2,1,1,0,0,1,,,,M2,M2,M3,M1,M2,1,0,1,1,0,,,,M2,M2,M3,M1,M2,1,2,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F7,F5,M1,M4,,,,,,,,,F9,F7,F5,M1,WD,1,0,0,0,1,,,,F9,F7,F5,M1,WD,1,0,0,0,1,,,,F9,F7,F5,M1,WD,1,0,0,0,1,,,,F9,F7,F5,M1,WD,1,1,1,1,0,,,,F9,F7,F5,M1,WD,1,1,1,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F7,F9,M1,F5,,,,,,,,,F7,F7,RP3,M1,M4,1,0,0,0,1,,,,F7,F7,RP3,M1,M4,1,0,0,0,1,,,,F7,F7,RP3,M1,M4,1,0,0,0,1,,,,F7,F7,RP3,M1,M4,1,1,1,1,1,,,,F7,F7,RP3,M1,M4,1,1,1,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,RP2,WD,F7,M1,,,,,,,,,F5,RP2,WD,F7,F5,1,0,1,0,1,,,,F5,RP2,WD,F7,F5,1,0,5,0,1,,,,F5,RP2,WD,F7,F5,1,0,0,0,1,,,,F5,RP2,WD,F7,F5,1,1,1,1,1,,,,F5,RP2,WD,F7,F5,1,1,10,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,RP2,F6,M3,M2,,,,,,,,,F7,RP2,F6,M3,M1,1,0,0,0,1,,,,F7,RP2,F6,M3,M1,1,0,2,0,1,,,,F7,RP2,F6,M3,M1,1,0,0,0,1,,,,F7,RP2,F6,M3,M1,1,1,0,1,1,,,,F7,RP2,F6,M3,M1,1,1,10,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP2,F6,M3,M3,,,,,,,,,M3,RP2,F6,M3,M2,1,0,0,0,1,,,,M3,RP2,F6,M3,M2,1,0,1,0,1,,,,M3,RP2,F6,M3,M2,1,0,0,0,1,,,,M3,RP2,F6,M3,M2,1,1,0,1,0,,,,M3,RP2,F6,M3,M2,1,1,10,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP2,M3,M4,M2,,,,,,,,,M3,RP2,F7,M4,M3,1,0,0,0,1,,,,M3,RP2,F7,M4,M3,1,0,0,0,1,,,,M3,RP2,F7,M4,M3,1,0,1,0,1,,,,M3,RP2,F7,M4,M3,1,1,0,1,0,,,,M3,RP2,F7,M4,M3,1,1,2,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M3,RP2,M4,M4,,,,,,,,,F5,M3,RP2,M4,M2,1,0,0,0,1,,,,F5,M3,RP2,M4,M2,1,0,0,0,1,,,,F5,M3,RP2,M4,M2,1,0,0,0,1,,,,F5,M3,RP2,M4,M2,1,1,1,1,0,,,,F5,M3,RP2,M4,M2,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M3,RP2,F6,F6,,,,,,,,,F8,M3,RP2,F6,M4,1,0,0,0,1,,,,F8,M3,RP2,F6,M4,1,0,0,0,1,,,,F8,M3,RP2,F6,M4,1,0,0,0,1,,,,F8,M3,RP2,F6,M4,1,1,1,1,0,,,,F8,M3,RP2,F6,M4,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M4,RP2,F6,M3,,,,,,,,,M4,M4,RP2,F6,F6,1,0,0,0,1,,,,M4,M4,RP2,F6,F6,1,0,0,0,1,,,,M4,M4,RP2,F6,F6,1,0,0,0,1,,,,M4,M4,RP2,F6,F6,1,1,1,1,0,,,,M4,M4,RP2,F6,F6,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F5,RP2,WD,F6,,,,,,,,,F8,F5,RP2,WD,M3,1,0,0,1,1,,,,F8,F5,RP2,WD,M3,1,0,0,5,1,,,,F8,F5,RP2,WD,M3,1,0,0,0,1,,,,F8,F5,RP2,WD,M3,1,1,1,0,0,,,,F8,F5,RP2,WD,M3,1,1,1,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,F8,F5,BN,,,,,,,,,F9,RP3,F8,F5,F6,1,0,0,0,1,,,,F9,RP3,F8,F5,F6,1,0,0,2,1,,,,F9,RP3,F8,F5,F6,1,0,0,0,1,,,,F9,RP3,F8,F5,F6,1,1,1,0,0,,,,F9,RP3,F8,F5,F6,1,1,1,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,WD,BN,M3,F5,,,,,,,,,M4,WD,M1,M3,M1,1,1,0,0,1,,,,M4,WD,M1,M3,M1,1,5,0,1,1,,,,M4,WD,M1,M3,M1,1,0,0,0,1,,,,M4,WD,M1,M3,M1,1,1,1,0,0,,,,M4,WD,M1,M3,M1,1,10,1,2,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,F9,M4,F9,,,,,,,,,F6,F6,F9,M4,F5,1,0,0,0,1,,,,F6,F6,F9,M4,F5,1,2,0,0,1,,,,F6,F6,F9,M4,F5,1,0,0,1,1,,,,F6,F6,F9,M4,F5,1,0,1,0,0,,,,F6,F6,F9,M4,F5,1,10,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F7,F9,M4,M4,,,,,,,,,F5,F7,F9,M4,F9,1,0,0,0,1,,,,F5,F7,F9,M4,F9,1,1,0,0,1,,,,F5,F7,F9,M4,F9,1,0,0,0,1,,,,F5,F7,F9,M4,F9,1,0,1,1,0,,,,F5,F7,F9,M4,F9,1,10,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M4,F6,M3,F7,,,,,,,,,F6,M4,F6,F6,M4,1,0,0,0,1,,,,F6,M4,F6,F6,M4,1,0,0,0,1,,,,F6,M4,F6,F6,M4,1,1,0,0,1,,,,F6,M4,F6,F6,M4,1,0,1,1,0,,,,F6,M4,F6,F6,M4,1,2,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M4,M4,F6,M1,,,,,,,,,F5,M4,M4,M3,M3,1,0,0,0,1,,,,F5,M4,M4,M3,M3,1,0,0,0,1,,,,F5,M4,M4,M3,M3,1,0,0,0,1,,,,F5,M4,M4,M3,M3,1,1,1,1,0,,,,F5,M4,M4,M3,M3,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M1,M4,M1,M3,,,,,,,,,M4,M1,M4,M4,WD,1,0,0,0,1,,,,M4,M1,M4,M4,WD,1,0,0,0,1,,,,M4,M1,M4,M4,WD,1,0,0,0,1,,,,M4,M1,M4,M4,WD,1,1,1,1,0,,,,M4,M1,M4,M4,WD,1,1,1,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F9,F6,F7,M4,,,,,,,,,F8,F9,F6,F7,F7,1,0,0,0,1,,,,F8,F9,F6,F7,F7,1,0,0,0,1,,,,F8,F9,F6,F7,F7,1,0,0,0,1,,,,F8,F9,F6,F7,F7,1,1,1,1,1,,,,F8,F9,F6,F7,F7,1,1,1,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F9,BN,F6,M2,,,,,,,,,F6,F9,M1,F6,M4,1,0,0,0,1,,,,F6,F9,M1,F6,M4,1,0,0,0,1,,,,F6,F9,M1,F6,M4,1,0,0,0,1,,,,F6,F9,M1,F6,M4,1,1,1,1,1,,,,F6,F9,M1,F6,M4,1,1,1,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M4,F7,F5,F6,,,,,,,,,F7,M4,F7,F5,M4,1,0,0,0,1,,,,F7,M4,F7,F5,M4,1,0,0,0,1,,,,F7,M4,F7,F5,M4,1,0,0,0,1,,,,F7,M4,F7,F5,M4,1,1,1,1,1,,,,F7,M4,F7,F5,M4,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,F5,RP1,,,,,,,,,,F7,F8,F5,RP1,M2,1,0,0,0,1,,,,F7,F8,F5,RP1,M2,1,0,0,0,1,,,,F7,F8,F5,RP1,M2,1,0,0,0,1,,,,F7,F8,F5,RP1,M2,1,1,1,1,0,,,,F7,F8,F5,RP1,M2,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,F5,RP1,,,,,,,,,,F9,F5,F5,RP1,F6,1,0,0,0,1,,,,F9,F5,F5,RP1,F6,1,0,0,0,1,,,,F9,F5,F5,RP1,F6,1,0,0,0,1,,,,F9,F5,F5,RP1,F6,1,1,1,1,0,,,,F9,F5,F5,RP1,F6,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,F6,RP1,,,,,,,,,,F9,F8,F6,RP1,M1,1,0,0,0,1,,,,F9,F8,F6,RP1,M1,1,0,0,0,1,,,,F9,F8,F6,RP1,M1,1,0,0,0,1,,,,F9,F8,F6,RP1,M1,1,1,1,1,0,,,,F9,F8,F6,RP1,M1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,M1,RP1,,,,,,,,,,M1,F7,M1,RP1,F7,1,0,0,0,1,,,,M1,F7,M1,RP1,F7,1,0,0,0,1,,,,M1,F7,M1,RP1,F7,1,0,0,0,1,,,,M1,F7,M1,RP1,F7,1,1,1,1,0,,,,M1,F7,M1,RP1,F7,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,M1,F9,,,,,,,,,,F8,F6,M1,F9,,1,0,0,0,,,,,F8,F6,M1,F9,,1,0,0,0,,,,,F8,F6,M1,F9,,1,0,0,0,,,,,F8,F6,M1,F9,,1,1,1,1,,,,,F8,F6,M1,F9,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,F9,,,,,,,,,,,F8,F8,F9,F5,,1,0,0,0,,,,,F8,F8,F9,F5,,1,0,0,0,,,,,F8,F8,F9,F5,,1,0,0,0,,,,,F8,F8,F9,F5,,1,1,1,1,,,,,F8,F8,F9,F5,,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,F6,,,,,,,,,,,F9,F9,F6,,,1,0,0,,,,,,F9,F9,F6,,,1,0,0,,,,,,F9,F9,F6,,,1,0,0,,,,,,F9,F9,F6,,,1,1,1,,,,,,F9,F9,F6,,,1,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,,,,,,,,M2,M2,,,,1,0,,,,,,,M2,M2,,,,1,0,,,,,,,M2,M2,,,,1,0,,,,,,,M2,M2,,,,1,1,,,,,,,M2,M2,,,,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,,M3,F9,,,,1,0,,,,,,,M3,F9,,,,1,0,,,,,,,M3,F9,,,,1,0,,,,,,,M3,F9,,,,1,1,,,,,,,M3,F9,,,,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
