screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,,adding sc feature weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M1,BN,M5,RP1,,,,,,,,,,,RP9,RP6,RP10,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M4,F9,RP8,RP1,,,,,,,,,,,F9,RP7,RP11,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,RP1,F10,F7,RP1,,,,,,,,,,,F10,RP7,RP10,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F6,M3,F10,RP1,,,,,,,,,,,M3,RP8,RP12,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP1,RP1,F10,RP11,,,,,,,,,,,RP1,RP9,RP11,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M5,RP8,F8,RP11,,,,,,,,,,,RP1,RP9,RP11,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M3,M1,M1,F9,,,,,,,,,,,M1,M1,F9,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M4,M4,M1,F10,,,,,,,,,,,M4,M1,F10,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,WD,F8,M5,M2,,,,,,,,,,,F8,M5,M2,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F7,RP1,RP7,M5,,,,,,,,,,,RP1,F8,M5,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M1,F7,M3,M4,,,,,,,,,,,F7,F9,M4,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP5,M1,M2,M4,M3,,,,,,,,,,,M2,RP1,M3,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,RP5,M4,M4,F7,,,,,,,,,,,M4,F6,F7,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,RP7,F6,BN,,,,,,,,,,,RP6,RP1,RP11,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M3,RP1,F6,F8,,,,,,,,,,,RP6,M1,RP10,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F9,F6,RP9,F6,,,,,,,,,,,RP7,F8,RP12,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,RP1,M3,RP9,M5,,,,,,,,,,,RP7,M5,RP11,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,WD,RP7,RP11,,,,,,,,,,,RP8,RP9,RP11,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F7,F8,F10,RP10,,,,,,,,,,,RP9,RP9,RP10,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP3,F9,F8,M2,RP11,,,,,,,,,,,RP9,RP7,RP11,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,RP4,RP1,F9,F7,,,,,,,,,,,RP1,RP6,F7,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F8,F7,M4,M3,,,,,,,,,,,F7,RP6,M3,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F8,F7,F7,M3,,,,,,,,,,,F7,RP7,M3,,,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M3,F10,RP1,M1,,,,,,,,,,,F10,RP7,M1,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP3,RP6,M3,RP1,,,,,,,,,,,RP1,RP8,RP1,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F7,M1,RP1,RP1,,,,,,,,,,,M1,RP9,RP1,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M5,F9,M1,RP1,,,,,,,,,,,F9,RP9,RP1,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M4,BN,M1,RP1,,,,,,,,,,,RP1,RP9,RP1,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,F8,F9,M4,,,,,,,,,,,F8,RP7,M4,,,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F10,F9,F8,F6,,,,,,,,,,,F9,F8,F6,,,0,1,1,,
