screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M2,F8,M4,,1,1,1,1,,,,,F8,F8,F7,M5,,1,1,2,1,,,,,F8,F8,F7,M5,,1,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M4,M5,M5,,1,1,1,1,,,,,F7,M5,F6,M2,,1,1,2,1,,,,,F7,M5,F6,M2,,0,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F10,F10,F9,,1,1,1,1,,,,,F10,F8,F7,F7,,1,1,2,1,,,,,F10,F8,F7,F7,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,F8,F7,F8,,1,1,1,1,,,,,F6,F10,F8,F6,,1,1,2,1,,,,,F6,F10,F8,F6,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,WD,F7,M5,,1,1,1,1,,,,,F7,M4,M5,M5,,1,1,1,1,,,,,F7,M4,M5,M5,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F7,F8,M3,,1,1,1,1,,,,,F8,M2,F7,F7,,1,1,1,1,,,,,F8,M2,F7,F7,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F7,M4,M5,,1,1,1,1,,,,,F8,M5,F10,F6,,1,1,1,1,,,,,F8,M5,F10,F6,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,F10,F6,,1,1,1,1,,,,,F8,F10,F8,F7,,1,1,2,2,,,,,F8,F10,F8,F7,,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F10,F10,F8,,1,1,1,1,,,,,F7,M1,M4,F10,,1,1,1,2,,,,,F7,M1,M4,F10,,0,1,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M4,F9,M5,,1,1,1,1,,,,,F9,F9,F7,M1,,1,1,1,1,,,,,F9,F9,F7,M1,,0,1,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M5,F7,M2,,1,1,1,1,,,,,F6,F10,F9,M5,,1,1,1,1,,,,,F6,F10,F9,M5,,0,1,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F10,F8,F8,,1,1,1,1,,,,,F7,F8,F7,M4,,1,1,2,1,,,,,F7,F8,F7,M4,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M5,M4,F10,,1,1,1,1,,,,,M1,F8,F8,F7,,1,1,2,1,,,,,M1,F8,F8,F7,,1,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F8,F10,BN,,1,1,1,1,,,,,M4,F7,F7,F7,,1,1,2,1,,,,,M4,F7,F7,F7,,1,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F10,F10,F7,,1,1,1,1,,,,,F9,F7,M1,F10,,1,1,1,2,,,,,F9,F7,M1,F10,,1,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F10,F7,F8,,1,1,1,2,,,,,F9,F10,F7,F8,,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F6,F8,F9,,1,1,1,2,,,,,F8,F6,F8,F9,,0,0,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F10,F6,F6,,1,1,2,2,,,,,F10,F10,F6,F6,,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F7,F7,M1,,1,1,2,1,,,,,F6,F7,F7,M1,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F10,F10,F6,,1,1,2,1,,,,,F7,F10,F10,F6,,0,0,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M1,F8,F10,,1,1,2,1,,,,,F8,M1,F8,F10,,0,1,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F8,M3,F9,,1,1,1,2,,,,,F7,F8,M3,F9,,0,1,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F9,F9,,,1,1,1,,,,,,M1,F9,F9,,,1,1,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F10,F10,,,1,1,1,,,,,,F10,F10,F10,,,1,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,1,,,,,,,,F8,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,1,,,,,,,,F9,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,1,,,,,,,,F9,,,,,0,,,,,
