screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
,,,,,,,,,,,,,,,,,,,,,,,SC8,0,0,30,30,30,30,30,,,,M2,WD,F8,M1,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SC9,0,0,20,20,20,20,20,,,,F5,F6,F6,M1,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SC10,0,0,2,2,2,2,2,,,,BN,F6,RP6,F9,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SC11,0,0,1,1,1,1,1,,,,F7,M3,RP4,WD,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F5,F8,F8,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F5,M4,F8,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F8,WD,M3,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M1,F7,F7,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M1,F7,F7,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP1,BN,M2,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,RP1,F8,F6,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP1,F8,F6,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,RP1,RP3,WD,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,F8,RP3,M3,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,WD,RP3,M3,RP5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,F9,F8,RP5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F9,M1,RP4,RP5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,RP3,M1,F9,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP5,M1,M4,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F5,WD,M4,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,M4,M3,M1,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F9,M4,M3,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F6,F5,F7,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M1,F5,RP2,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F8,BN,RP2,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M4,F6,RP2,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F5,F6,F6,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP4,WD,F6,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP4,M2,RP1,RP1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,RP1,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP1,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,RP6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,RP3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,,,
