screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,,mystery trigger weights,mystery credits,mystery weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F7,M4,RP1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M2,F8,M3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F9,F8,M3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,WD,BN,F7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,WD,F5,F6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,WD,F5,M3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,WD,M4,F9,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP1,M2,M2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,RP1,M2,M2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP1,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,RP1,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F7,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F7,M4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F6,F5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F9,F5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F9,F5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,F8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,F8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,M4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,F7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,,BN,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,F9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,F9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,F9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,F9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,F7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,M1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,F8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,F8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,F8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,F8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,,M1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,BN,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,F7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,F7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,F9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,F8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,F9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,F9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,F5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,F8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,F9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,M3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,M3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BN,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,
