screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,weights rp14,weights rp15,weights rp16,weights rp17,,tumbling reel strip weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,game
,,,,,,,,,,,SC11,500,,RP11,,,,,,,,,,,,,,,,,,,,,,,SC1,0,0,0,10,10,10,10,10,10,0,0,0,0,0,0,0,0,,,,,,M3,F5,F8,F5,F7,,,,,,,,,M3,F5,F8,F5,F7,,,,,,,,,M3,F5,F8,F5,F7,,,,,,,,,M3,F5,F8,F5,F7,,,,,,,
,,,,,,,,,,,SC12,600,,RP12,,,,,,,,,,,,,,,,,,,,,,,SC2,0,0,0,10,10,10,10,10,10,0,0,0,0,0,0,0,0,,,,,,F8,F6,M3,WD,F6,,,,,,,,,F8,F6,M3,WD,F6,,,,,,,,,F8,F6,M3,WD,F6,,,,,,,,,F8,F6,M3,WD,F6,,,,,,,
,,,,,,,,,,,SC13,700,,RP13,,,,,,,,,,,,,,,,,,,,,,,SC3,0,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,,,,,,F7,WD,WD,M3,M4,,,,,,,,,F7,WD,WD,M3,M4,,,,,,,,,F7,WD,WD,M3,M4,,,,,,,,,F7,WD,WD,M3,M4,,,,,,,
,,,,,,,,,,,,,,RP14,,,,,,,,,,,,,,,,,,,,,,,SC4,0,0,0,5,5,5,5,5,5,10,10,10,10,0,0,0,0,,,,,,M1,F5,F6,WD,TW,,,,,,,,,M1,F5,F6,WD,TW,,,,,,,,,M1,F5,F6,WD,TW,,,,,,,,,M1,F5,F6,WD,TW,,,,,,,
,,,,,,,,,,,,,,RP15,,,,,,,,,,,,,,,,,,,,,,,SC5,0,0,0,5,5,5,5,5,5,8,8,8,8,100,100,100,0,,,,,,M1,M4,WD,M2,F5,,,,,,,,,M1,M4,WD,M2,F5,,,,,,,,,M1,M4,WD,M2,F5,,,,,,,,,M1,M4,WD,M2,F5,,,,,,,
,,,,,,,,,,,,,,RP16,,,,,,,,,,,,,,,,,,,,,,,SC6,0,0,0,2,2,2,2,2,2,4,4,4,4,100,100,100,0,,,,,,F8,M3,WD,M2,F8,,,,,,,,,F8,M3,WD,M2,F8,,,,,,,,,F8,M3,WD,M2,F8,,,,,,,,,F8,M3,WD,M2,F8,,,,,,,
,,,,,,,,,,,,,,RP17,,,,,,,,,,,,,,,,,,,,,,,SC7,0,0,0,1,1,1,1,1,1,3,3,3,3,100,100,100,0,,,,,,F5,WD,M2,F6,M4,,,,,,,,,F5,WD,M2,F6,M4,,,,,,,,,F5,WD,M2,F6,M4,,,,,,,,,F5,WD,M2,F6,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC8,0,0,0,1,1,1,1,1,1,2,2,2,2,100,100,100,0,,,,,,F5,F6,F7,M4,F6,,,,,,,,,F5,F6,F7,M4,F6,,,,,,,,,F5,F6,F7,M4,F6,,,,,,,,,F5,F6,F7,M4,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC9,0,0,0,1,1,1,1,1,1,2,2,2,2,100,100,100,0,,,,,,M2,WD,F6,M4,F7,,,,,,,,,M2,WD,F6,M4,F7,,,,,,,,,M2,WD,F6,M4,F7,,,,,,,,,M2,WD,F6,M4,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC10,0,0,0,0,0,0,0,0,0,1,1,1,1,100,100,100,0,,,,,,F6,WD,M4,F7,M2,,,,,,,,,F6,WD,M4,F7,M2,,,,,,,,,F6,WD,M4,F7,M2,,,,,,,,,F6,WD,M4,F7,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC11,0,0,0,0,0,0,0,0,0,1,1,1,1,100,100,100,0,,,,,,M3,F7,F6,F6,F6,,,,,,,,,M3,F7,F6,F6,F6,,,,,,,,,M3,F7,F6,F6,F6,,,,,,,,,M3,F7,F6,F6,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC12,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,,,,,,F5,M1,M1,M3,F7,,,,,,,,,F5,M1,M1,M3,F7,,,,,,,,,F5,M1,M1,M3,F7,,,,,,,,,F5,M1,M1,M3,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC13,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,,,,,,M3,F8,M2,F6,M1,,,,,,,,,M3,F8,M2,F6,M1,,,,,,,,,M3,F8,M2,F6,M1,,,,,,,,,M3,F8,M2,F6,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC-Mini,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,,,,,,F7,M4,M4,M1,F8,,,,,,,,,F7,M4,M4,M1,F8,,,,,,,,,F7,M4,M4,M1,F8,,,,,,,,,F7,M4,M4,M1,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC-Minor,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,25,,,,,,F7,F6,F6,F7,TW,,,,,,,,,F7,F6,F6,F7,TW,,,,,,,,,F7,F6,F6,F7,TW,,,,,,,,,F7,F6,F6,F7,TW,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC-Major,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,4,,,,,,M4,M1,F8,F7,F6,,,,,,,,,M4,M1,F8,F7,F6,,,,,,,,,M4,M1,F8,F7,F6,,,,,,,,,M4,M1,F8,F7,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F7,M3,M1,,,,,,,,,,F6,F7,M3,M1,,,,,,,,,,F6,F7,M3,M1,,,,,,,,,,F6,F7,M3,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F5,F8,F5,,,,,,,,,,M4,F5,F8,F5,,,,,,,,,,M4,F5,F8,F5,,,,,,,,,,M4,F5,F8,F5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M3,M1,F5,,,,,,,,,,F6,M3,M1,F5,,,,,,,,,,F6,M3,M1,F5,,,,,,,,,,F6,M3,M1,F5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F6,F5,F5,,,,,,,,,,F7,F6,F5,F5,,,,,,,,,,F7,F6,F5,F5,,,,,,,,,,F7,F6,F5,F5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M4,F7,F8,,,,,,,,,,F6,M4,F7,F8,,,,,,,,,,F6,M4,F7,F8,,,,,,,,,,F6,M4,F7,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,M2,M3,,,,,,,,,,F8,F8,M2,M3,,,,,,,,,,F8,F8,M2,M3,,,,,,,,,,F8,F8,M2,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M2,,F8,,,,,,,,,,M2,M2,,F8,,,,,,,,,,M2,M2,,F8,,,,,,,,,,M2,M2,,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F7,,M4,,,,,,,,,,M2,F7,,M4,,,,,,,,,,M2,F7,,M4,,,,,,,,,,M2,F7,,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F6,,F5,,,,,,,,,,F7,F6,,F5,,,,,,,,,,F7,F6,,F5,,,,,,,,,,F7,F6,,F5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,M1,,WD,,,,,,,,,,F6,M1,,WD,,,,,,,,,,F6,M1,,WD,,,,,,,,,,F6,M1,,WD,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,M3,,,,,,,,,,M3,,,M3,,,,,,,,,,M3,,,M3,,,,,,,,,,M3,,,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,WD,,,,,,,,,,M4,,,WD,,,,,,,,,,M4,,,WD,,,,,,,,,,M4,,,WD,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,,,,,,,,,,WD,,,,,,,,,,,,,WD,,,,,,,,,,,,,WD,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,,,,,,,,,,WD,,,,,,,,,,,,,WD,,,,,,,,,,,,,WD,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,,,,,,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,,,,,,,,,,WD,,,,,,,,,,,,,WD,,,,,,,,,,,,,WD,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,,,,,,,,,,,,,WD,,,,,,,,,,,,,WD,,,,,,,,,,,,,WD,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,,,,,,M2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,,,,,,F6,,,,,,,,
