screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,weights rp14,weights rp15,,yes weights bns,no weights bns,,checkpoint weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,reels 4 weighted,,reels 4,reels 4,reels 4,reels 4,reels 4,weights,weights,weights,weights,weights,,reels 5 weighted,,reels 5,reels 5,reels 5,reels 5,reels 5,weights,weights,weights,weights,weights,,reels 6 weighted,,reels 6,reels 6,reels 6,reels 6,reels 6,weights,weights,weights,weights,weights,,game
,,,,F10,,,,,,,,,,RP11,,WD10,9,TRUE,TRUE,1,FALSE,2500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,F10,0,0,5,35,100,,F10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,F5,M4,F5,M2,F8,,,,,,,,,F5,M4,RP6,M2,F6,,,,,,,,,F5,M4,RP6,M2,F6,,,,,,,,,F5,M4,F5,M2,F6,,,,,,,,,F5,M4,TW,M2,F6,,,,,,,,,F5,M4,RP6,M2,F6,,,,,,,,,F5,M4,RP6,M2,F6,,,,,,,
,,,,,,,,,,,,,,RP12,,,,,,,,,,,,,,,,,,,,,,,W2,0,0,40,40,40,0,0,0,0,0,0,0,0,0,0,,,,,,,,,RP2,F7,F10,RP2,M1,,,,,,,,,M4,F7,RP7,RP1,M2,,,,,,,,,M4,F7,RP7,RP1,M2,,,,,,,,,M4,F7,TW,RP2,M2,,,,,,,,,M4,F7,F10,RP2,M2,,,,,,,,,M4,F7,RP7,RP1,M2,,,,,,,,,M4,F7,RP7,RP1,M2,,,,,,,
,,,,,,,,,,,,,,RP13,,,,,,,,,,,,,,,,,,,,,,,W3,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,F10,RP3,M4,RP2,M1,,,,,,,,,F10,RP1,RP8,RP1,M4,,,,,,,,,F10,RP3,RP8,RP1,M4,,,,,,,,,F10,TW,F5,RP2,M4,,,,,,,,,F10,TW,F8,RP2,M4,,,,,,,,,F10,TW,RP8,RP1,M4,,,,,,,,,F10,TW,RP8,RP1,M4,,,,,,,
,,,,,,,,,,,,,,RP14,,,,,,,,,,,,,,,,,,,,,,,W4,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,F8,F10,F9,RP2,M1,,,,,,,,,F8,F10,F9,RP1,F9,,,,,,,,,F8,F10,F9,RP1,F9,,,,,,,,,F8,F10,F9,RP2,F9,,,,,,,,,F8,F10,F9,RP2,F9,,,,,,,,,F8,F10,F9,RP1,F9,,,,,,,,,F8,F10,F9,RP1,F9,,,,,,,
,,,,,,,,,,,,,,RP15,,,,,,,,,,,,,,,,,,,,,,,W5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,M4,F6,RP4,F7,F10,,,,,,,,,RP1,F6,M4,F7,M2,,,,,,,,,RP1,F6,M4,F7,M2,,,,,,,,,RP2,F6,M4,F7,M2,,,,,,,,,RP2,F6,M4,F7,M2,,,,,,,,,RP1,F6,M4,F7,M2,,,,,,,,,RP1,F6,M4,F7,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,RP2,F10,F8,F6,M2,,,,,,,,,RP1,F10,F8,F6,F8,,,,,,,,,RP1,F10,F8,F6,F8,,,,,,,,,RP2,F10,F8,F6,F8,,,,,,,,,RP2,F10,F8,F6,F8,,,,,,,,,RP1,F10,F8,F6,F8,,,,,,,,,RP1,F10,F8,F6,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,M1,F9,RP2,M3,F9,,,,,,,,,M1,F9,RP7,M3,M1,,,,,,,,,M1,F9,M2,M3,M1,,,,,,,,,M1,F9,M2,M3,M1,,,,,,,,,M1,F9,TW,M3,M1,,,,,,,,,M1,F9,M2,M3,M1,,,,,,,,,M1,F9,M2,M3,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,,,,,,,,,M1,F5,F9,F8,M1,,,,,,,,,M1,F5,F9,F8,M1,,,,,,,,,M1,F5,F9,F8,M1,,,,,,,,,M1,F5,F9,F8,M1,,,,,,,,,M1,F5,F9,F8,M1,,,,,,,,,M1,F5,F9,F8,M1,,,,,,,,,M1,F5,F9,F8,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD4,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,,,,,,,,,F9,RP2,F6,F5,F8,,,,,,,,,F9,RP1,M1,F5,M1,,,,,,,,,F9,RP1,F6,F5,M1,,,,,,,,,F9,TW,F6,F5,M1,,,,,,,,,F9,RP2,F6,F5,M1,,,,,,,,,F9,RP1,F6,F5,M1,,,,,,,,,F9,RP1,F6,F5,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,F8,F7,M2,RP5,M3,,,,,,,,,F8,RP1,M2,RP10,F10,,,,,,,,,F8,RP1,M2,RP5,F10,,,,,,,,,F8,F10,M2,TW,F10,,,,,,,,,F8,RP2,M2,RP5,F10,,,,,,,,,F8,RP1,M2,TW,F10,,,,,,,,,F8,RP1,M2,RP5,F10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,,,,,,,,,F7,M3,F6,F6,F7,,,,,,,,,F7,F7,F6,F6,F9,,,,,,,,,F7,F7,F6,F6,M2,,,,,,,,,F7,F7,F6,F6,M2,,,,,,,,,F7,F7,F6,F6,M2,,,,,,,,,F7,F7,F6,F6,M2,,,,,,,,,F7,F7,F6,F6,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,F7,RP2,RP2,M2,F5,,,,,,,,,F7,M2,RP6,M2,BN4,,,,,,,,,F7,M2,RP6,M2,F9,,,,,,,,,F7,M2,F8,M2,F9,,,,,,,,,F7,M2,RP4,M2,F9,,,,,,,,,F7,M2,RP6,M2,F9,,,,,,,,,F7,M2,RP6,M2,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,,,RP2,F9,RP2,F7,F8,,,,,,,,,RP1,F9,RP6,F7,F7,,,,,,,,,RP1,F9,RP6,F7,M1,,,,,,,,,RP2,F9,TW,F7,M1,,,,,,,,,RP2,F9,F8,F7,M1,,,,,,,,,RP1,F9,RP6,F7,M1,,,,,,,,,RP1,F9,RP6,F7,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,,,,F6,F7,RP2,M1,M3,,,,,,,,,F6,F7,RP6,M1,M4,,,,,,,,,F6,F7,RP6,M1,F8,,,,,,,,,F6,F7,F5,M1,F8,,,,,,,,,F6,F7,F7,M1,F8,,,,,,,,,F6,F7,RP6,M1,F8,,,,,,,,,F6,F7,RP6,M1,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,M4,RP3,F8,M1,F9,,,,,,,,,M4,RP1,F8,M1,F5,,,,,,,,,M4,RP3,F8,M1,M3,,,,,,,,,M4,TW,F8,M1,M3,,,,,,,,,M4,RP3,F8,M1,M3,,,,,,,,,M4,TW,F8,M1,M3,,,,,,,,,M4,RP3,F8,M1,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,F5,F7,M2,BN4,,,,,,,,,F9,F5,F7,M2,F9,,,,,,,,,F9,F5,F7,M2,F7,,,,,,,,,F9,F5,F7,M2,F7,,,,,,,,,F9,F5,F7,M2,F7,,,,,,,,,F9,F5,F7,M2,F7,,,,,,,,,F9,F5,F7,M2,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,M1,F9,F7,,,,,,,,,F8,F8,M1,F9,RP14,,,,,,,,,F8,F8,M1,F9,M4,,,,,,,,,F8,F8,M1,F9,M4,,,,,,,,,F8,F8,M1,F9,M4,,,,,,,,,F8,F8,M1,F9,M4,,,,,,,,,F8,F8,M1,F9,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F10,M3,M4,M4,,,,,,,,,F10,F10,M3,M4,RP14,,,,,,,,,F10,F10,M3,M4,F8,,,,,,,,,F10,F10,M3,M4,F8,,,,,,,,,F10,F10,M3,M4,F8,,,,,,,,,F10,F10,M3,M4,F8,,,,,,,,,F10,F10,M3,M4,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,F5,F8,F6,RP2,,,,,,,,,RP1,F5,F8,F6,RP14,,,,,,,,,RP1,F5,F8,F6,M3,,,,,,,,,RP2,F5,F8,F6,M3,,,,,,,,,RP2,F5,F8,F6,M3,,,,,,,,,RP1,F5,F8,F6,M3,,,,,,,,,RP1,F5,F8,F6,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M1,F6,RP5,RP2,,,,,,,,,RP1,M1,F6,RP11,RP15,,,,,,,,,RP1,M1,F6,RP5,F9,,,,,,,,,RP2,M1,F6,TW,F9,,,,,,,,,RP2,M1,F6,TW,F9,,,,,,,,,RP1,M1,F6,TW,F9,,,,,,,,,RP1,M1,F6,TW,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F7,F10,F8,RP2,,,,,,,,,F10,F7,F10,F8,RP13,,,,,,,,,F10,F7,F10,F8,BN4,,,,,,,,,F10,F7,F10,F8,BN4,,,,,,,,,F10,F7,F10,F8,BN4,,,,,,,,,F10,F7,F10,F8,BN4,,,,,,,,,F10,F7,F10,F8,BN4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,RP4,F7,RP2,,,,,,,,,F6,F9,RP8,F7,RP13,,,,,,,,,F6,F9,RP1,F7,F7,,,,,,,,,F6,F9,TW,F7,F7,,,,,,,,,F6,F9,TW,F7,F7,,,,,,,,,F6,F9,TW,F7,F7,,,,,,,,,F6,F9,TW,F7,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F6,F7,M1,RP2,,,,,,,,,F9,RP1,F7,M1,RP13,,,,,,,,,F9,RP1,F7,M1,M4,,,,,,,,,F9,RP2,F7,M1,M4,,,,,,,,,F9,RP2,F7,M1,M4,,,,,,,,,F9,RP1,F7,M1,M4,,,,,,,,,F9,RP1,F7,M1,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,RP3,M4,F8,,,,,,,,,,RP1,M2,M4,F8,RP14,,,,,,,,,RP1,RP1,M4,F8,F5,,,,,,,,,RP2,RP2,M4,F8,F5,,,,,,,,,RP2,RP2,M4,F8,F5,,,,,,,,,RP1,RP1,M4,F8,F5,,,,,,,,,RP1,RP1,M4,F8,F5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,F5,M4,,,,,,,,,,F6,RP1,F5,M4,RP14,,,,,,,,,F6,RP1,F5,M4,F9,,,,,,,,,F6,RP2,F5,M4,F9,,,,,,,,,F6,RP2,F5,M4,F9,,,,,,,,,F6,RP1,F5,M4,F9,,,,,,,,,F6,RP1,F5,M4,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F7,,F9,,,,,,,,,,F9,F7,,F9,F8,,,,,,,,,F9,F7,,F9,RP14,,,,,,,,,F9,F7,,F9,,,,,,,,,,F9,F7,,F9,M3,,,,,,,,,F9,F7,,F9,RP14,,,,,,,,,F9,F7,,F9,RP14,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,F9,,F8,,,,,,,,,,RP1,F9,,F8,,,,,,,,,,RP1,F9,,F8,RP14,,,,,,,,,RP2,F9,,F8,,,,,,,,,,RP2,F9,,F8,F5,,,,,,,,,RP1,F9,,F8,RP14,,,,,,,,,RP1,F9,,F8,RP14,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,M1,,F10,,,,,,,,,,RP1,RP1,,F10,,,,,,,,,,RP1,M2,,F10,RP14,,,,,,,,,RP2,M2,,F10,,,,,,,,,,RP2,M2,,F10,F5,,,,,,,,,RP1,M2,,F10,RP14,,,,,,,,,RP1,M2,,F10,RP14,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,F8,,M4,,,,,,,,,,RP1,F8,,M4,,,,,,,,,,RP1,F8,,M4,RP15,,,,,,,,,RP2,F8,,M4,,,,,,,,,,RP2,F8,,M4,F6,,,,,,,,,RP1,F8,,M4,RP15,,,,,,,,,RP1,F8,,M4,RP15,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,RP2,,M3,,,,,,,,,,M4,M3,,M3,,,,,,,,,,M4,M3,,M3,RP13,,,,,,,,,M4,M3,,M3,,,,,,,,,,M4,M3,,M3,F6,,,,,,,,,M4,M3,,M3,RP13,,,,,,,,,M4,M3,,M3,RP13,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F10,,F9,,,,,,,,,,F5,RP1,,F9,,,,,,,,,,F5,RP1,,F9,RP13,,,,,,,,,F5,F9,,F9,,,,,,,,,,F5,RP2,,F9,F10,,,,,,,,,F5,F10,,F9,RP13,,,,,,,,,F5,RP1,,F9,RP13,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,,RP2,,,,,,,,,,F9,F8,,RP9,,,,,,,,,,F9,F8,,RP9,RP13,,,,,,,,,F9,F8,,RP2,,,,,,,,,,F9,F8,,TW,M4,,,,,,,,,F9,F8,,RP9,RP13,,,,,,,,,F9,F8,,RP9,RP13,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,RP3,,RP2,,,,,,,,,,RP1,RP1,,RP9,,,,,,,,,,RP1,F10,,RP9,RP14,,,,,,,,,RP2,TW,,F5,,,,,,,,,,RP2,RP3,,F9,M1,,,,,,,,,RP1,TW,,RP9,RP14,,,,,,,,,RP1,RP3,,RP9,RP14,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F9,,RP2,,,,,,,,,,F10,F9,,RP10,,,,,,,,,,F10,F9,,RP10,RP14,,,,,,,,,F10,F9,,F7,,,,,,,,,,F10,F9,,F10,M2,,,,,,,,,F10,F9,,RP10,RP14,,,,,,,,,F10,F9,,RP10,RP14,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,RP2,,M4,,,,,,,,,,F10,F8,,RP10,,,,,,,,,,F10,F8,,RP10,F8,,,,,,,,,F10,F8,,M2,,,,,,,,,,F10,F8,,F8,F8,,,,,,,,,F10,F8,,RP10,F8,,,,,,,,,F10,F8,,RP10,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP2,F6,,F10,,,,,,,,,,M2,F6,,RP11,,,,,,,,,,M2,F6,,RP11,,,,,,,,,,M2,F6,,RP2,,,,,,,,,,M2,F6,,RP2,,,,,,,,,,M2,F6,,RP11,,,,,,,,,,M2,F6,,RP11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F8,,F5,,,,,,,,,,RP1,RP1,,RP11,,,,,,,,,,F6,RP1,,RP11,,,,,,,,,,F6,M1,,RP2,,,,,,,,,,F6,RP2,,M1,,,,,,,,,,F6,RP1,,RP11,,,,,,,,,,F6,RP1,,RP11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP3,,F8,,,,,,,,,,F8,RP1,,F8,,,,,,,,,,F8,RP1,,F8,,,,,,,,,,F8,RP2,,F8,,,,,,,,,,F8,RP2,,F8,,,,,,,,,,F8,RP1,,F8,,,,,,,,,,F8,RP1,,F8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F9,,M1,,,,,,,,,,F5,F9,,M1,,,,,,,,,,F5,F9,,M1,,,,,,,,,,F5,F9,,M1,,,,,,,,,,F5,F9,,M1,,,,,,,,,,F5,F9,,M1,,,,,,,,,,F5,F9,,M1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F7,,M3,,,,,,,,,,F6,F7,,M3,,,,,,,,,,F6,F7,,M3,,,,,,,,,,F6,F7,,M3,,,,,,,,,,F6,F7,,M3,,,,,,,,,,F6,F7,,M3,,,,,,,,,,F6,F7,,M3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,,,,,,F5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,,,,,,M4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,
