screen size,mixed pays,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,,mutator values,weights rp1,,reels 0 weighted,,reels 0,reels 0,reels 0,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,weights,weights,weights,,game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD,F5,M1,,,,,,,WD,F5,M1,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,WD,F3,,,,,,,M1,WD,F3,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4,M2,F4,,,,,,,F4,M2,F4,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F4,F5,,,,,,,M2,F4,F5,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M1,M2,,,,,,,F5,M1,M2,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F4,F3,,,,,,,M1,F4,F3,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3,F3,WD-3A,,,,,,,F3,F3,WD-3A,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,WD-3B,,,,,,,BL,BL,WD-3B,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M1,WD-3C,,,,,,,F5,M1,WD-3C,1,0,1,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F3,F5,,,,,,,M2,F3,F5,1,0,1,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4,F5,M2,,,,,,,F4,F5,M2,1,0,1,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD-3A,WD-3A,W2,,,,,,,WD-3A,WD-3A,W2,0,1,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD-3B,WD-3B,BL,,,,,,,WD-3B,WD-3B,BL,0,1,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD-3C,WD-3C,F4,,,,,,,WD-3C,WD-3C,F4,0,1,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,0,1,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,F4,M1,,,,,,,F5,F4,M1,0,1,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F3,F4,,,,,,,M2,F3,F4,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4,M2,F5,,,,,,,F4,M2,F5,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3,F4,M2,,,,,,,F3,F4,M2,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W2,F5,F3,,,,,,,W2,F5,F3,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,W2,WD-3A,,,,,,,M1,W2,WD-3A,1,0,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,WD-3B,,,,,,,BL,BL,WD-3B,1,0,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4,M2,WD-3C,,,,,,,F4,M2,WD-3C,1,0,0,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,0,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F3,F3,,,,,,,M2,F3,F3,1,0,0,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,M1,F4,,,,,,,F5,M1,F4,1,0,1,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,F5,F5,,,,,,,M1,F5,F5,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,,,,,,,BL,BL,BL,1,0,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3,WD-3A,M1,,,,,,,F3,WD-3A,M1,1,1,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,WD-3B,BL,,,,,,,BL,WD-3B,BL,1,1,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,WD-3C,F3,,,,,,,F5,WD-3C,F3,1,1,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,,BL,,,,,,,BL,,BL,1,,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,WD-3A,,,,,,,M2,,WD-3A,1,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,,WD-3B,,,,,,,BL,,WD-3B,1,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4,,WD-3C,,,,,,,F4,,WD-3C,1,,0,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,,,,,,,,,BL,,,1,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD-3A,,,,,,,,,WD-3A,,,0,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD-3B,,,,,,,,,WD-3B,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD-3C,,,,,,,,,WD-3C,,,0,,,,
