screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,weights rp11,weights rp12,weights rp13,weights rp14,weights rp15,weights rp16,,checkpoint weights,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,game
,,,,F10,,,,,,,,,,RP11,,WD-MINI,10,TRUE,TRUE,1,FALSE,800,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,0,0,5,25,100,,F10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,M5,RP1,RP4,M2,F6,,,,M5,F10,RP3,M2,F6,0,0,1,1,1,,
,,,,,,,,,,,,,,RP12,,WD-MINOR,11,TRUE,TRUE,1,FALSE,1500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,WD1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,M4,F7,RP4,RP1,M2,,,,M4,F7,RP3,RP2,M2,0,0,1,1,1,,
,,,,,,,,,,,,,,RP13,,WD-MAJOR,12,TRUE,TRUE,1,FALSE,2500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,WD2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,F10,RP1,RP4,RP1,M4,,,,F10,M4,RP3,RP2,M4,0,0,1,1,1,,
,,,,,,,,,,,,,,RP14,,WD-MEGA,13,TRUE,TRUE,1,FALSE,5000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,WD3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,F8,F10,F9,RP1,F9,,,,F8,F10,F9,RP2,F9,0,0,1,1,1,,
,,,,,,,,,,,,,,RP15,,WD-PROG,0,TRUE,TRUE,1,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,WD4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,RP1,F6,M4,F7,M2,,,,RP2,F6,F10,F7,RP13,1,0,1,1,1,,
,,,,,,,,,,,,,,RP16,,,,,,,,,,,,,,,,,,,,,,WD5,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,,,,,,RP1,F10,F8,F6,F8,,,,RP2,F10,RP5,F6,RP13,1,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD6,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,,,,,,M1,F9,M2,M3,M1,,,,M1,F9,RP5,M3,RP12,1,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD7,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,,,,,,M1,M5,F9,F8,M1,,,,M1,M5,RP5,F8,RP12,1,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD8,0,0,0,0,0,0,1,1,1,1,1,1,1,100,100,100,,,,,,F9,RP1,F6,M5,M1,,,,F9,RP2,F6,M2,RP13,0,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD9,0,0,0,0,0,0,0,0,0,0,0,1,1,100,100,100,,,,,,F8,RP1,M2,F10,F10,,,,F8,RP2,M2,M2,RP12,0,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD10,0,0,0,0,0,0,0,0,0,0,0,1,1,100,100,100,,,,,,F7,F7,F6,F6,M2,,,,F7,F7,F6,M1,RP13,0,1,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD-MINI,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,,,,,,F7,M2,RP3,M2,F9,,,,F7,M2,RP6,F6,RP12,0,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD-MINOR,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,,,,,,RP1,F9,RP3,F7,M1,,,,M3,F9,RP6,M5,RP13,0,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD-MAJOR,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,,,,,,F6,F7,RP3,M1,F8,,,,F6,F7,RP6,F8,RP12,0,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD-MEGA,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,,,,,,M4,RP1,F8,M1,M3,,,,M4,M4,RP3,F10,F6,0,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD-PROG,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,,,,,,F9,M5,M1,M2,F7,,,,F9,M5,RP3,M2,F7,0,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F8,M4,F9,M4,,,,F8,F8,RP3,F9,M4,0,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F10,M3,M4,F8,,,,F10,F10,F8,M4,F8,0,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M5,F8,F6,M3,,,,RP2,M5,M3,F6,M3,1,0,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M1,F6,RP1,F9,,,,RP2,M1,F6,RP2,F9,1,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F7,M1,RP1,M3,,,,F10,F7,M1,RP2,M3,1,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F9,M1,F7,F7,,,,F6,F9,M1,F7,F7,1,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,RP1,F7,M1,M4,,,,F9,RP2,F7,M1,M4,0,1,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP1,M4,F8,M5,,,,F7,RP2,M4,F8,M5,0,1,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP1,M5,M4,F9,,,,F6,RP2,M5,M4,F9,0,1,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F7,,F9,RP12,,,,F9,F7,,F9,RP12,0,1,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F9,,F8,RP14,,,,RP2,F9,,F8,RP14,1,1,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M2,,F10,RP12,,,,RP2,M2,,F10,RP12,1,0,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F8,,M4,RP12,,,,RP2,F8,,M4,RP12,1,0,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M3,,M3,RP15,,,,M4,M3,,M3,RP15,1,0,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,RP1,,F9,RP12,,,,M5,F6,,F9,RP12,1,0,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,,RP7,RP12,,,,F9,F8,,RP7,RP12,0,0,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,RP1,,RP9,RP16,,,,M4,F6,,RP7,RP16,0,0,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F9,,RP7,RP12,,,,F10,F9,,RP11,RP12,0,0,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F8,,RP10,F8,,,,F10,F8,,RP10,F8,0,0,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F6,,RP7,,,,,M2,F6,,RP10,,0,0,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,RP1,,RP11,,,,,F6,RP2,,RP9,,0,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP1,,F8,,,,,F8,RP2,,F8,,0,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F9,,M1,,,,,M5,F9,,M1,,0,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F7,,M3,,,,,F6,F7,,M3,,0,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,,,,,,,,M5,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,,,,,,,,M4,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,F10,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP8,,,,,,,,RP7,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP8,,,,,,,,RP7,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,RP7,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,F7,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,M1,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,,,,,,,,M5,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,,,,,,,,M2,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,,,,F9,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,,,,,,,,RP9,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,RP9,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,RP7,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,RP10,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,RP10,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,RP7,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,F10,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,,,,,,,,F9,,,,,1,,,
