screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,M2,F9,M5,M5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F10,F10,M4,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,M3,M3,F9,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,M4,M4,M3,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,F8,RP1,M5,F10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,RP1,M1,M2,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,RP1,M1,F9,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9,M4,F6,WD,F8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M3,WD,F8,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,M5,M4,M1,M5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F7,M5,M1,M2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,F8,F8,RP1,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,F10,M3,WD,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F7,M4,M5,M5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,BN,M2,M4,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,F8,M5,F10,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,WD,F10,RP1,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M3,WD,M4,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2,F9,F9,F7,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F6,F10,F9,M5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M1,M3,M1,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M4,F10,F8,M5,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M5,M4,F10,M2,F7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,F9,F7,F9,BN,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP1,M2,M2,WD,M4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,F8,F6,F8,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,RP1,M3,M3,M3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F6,F7,F7,M1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,M3,F10,M4,F6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,F8,M1,F8,M5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,WD,RP1,WD,F9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,M5,F9,F9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,F6,F10,F10,BN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
