screen size,,independent reels,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,weights,,game
,,,,,,F10,,,,,,,SC11,2500,,,,F10,0,0,0,0,0,,SC11,2,2,2,2,2,2,2,2,2,2,,,,,RP5,RP5,RP5,RP5,RP5,RP5,RP5,RP5,RP5,RP5,RP5,RP5,RP5,RP5,RP5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP6,RP6,RP6,RP6,RP6,RP6,RP6,RP6,RP6,RP6,RP6,RP6,RP6,RP6,RP6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP7,RP7,RP7,RP7,RP7,RP7,RP7,RP7,RP7,RP7,RP7,RP7,RP7,RP7,RP7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP8,RP8,RP8,RP8,RP8,RP8,RP8,RP8,RP8,RP8,RP8,RP8,RP8,RP8,RP8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,BL,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP9,RP9,RP9,RP9,RP9,RP9,RP9,RP9,RP9,RP9,RP9,RP9,RP9,RP9,RP9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP10,RP10,RP10,RP10,RP10,RP10,RP10,RP10,RP10,RP10,RP10,RP10,RP10,RP10,RP10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
